Datetime,Dry Bulb Temperature,Relative Humidity,Wind Direction,Wind Speed
2022-01-01 00:00:00,22.4,93,272,2.8
2022-01-01 01:00:00,22.5,93,276,2.6
2022-01-01 02:00:00,21.9,93,290,2.4
2022-01-01 03:00:00,21.9,94,290,2.2
2022-01-01 04:00:00,21.7,94,276,2.1
2022-01-01 05:00:00,21.5,95,270,1.9
2022-01-01 06:00:00,21.6,95,280,1.5
2022-01-01 07:00:00,23.2,92,302,1.1
2022-01-01 08:00:00,23.9,88,296,1.0
2022-01-01 09:00:00,24.9,81,282,1.1
2022-01-01 10:00:00,25.9,75,291,1.2
2022-01-01 11:00:00,27.2,71,271,0.6
2022-01-01 12:00:00,27.8,70,161,0.9
2022-01-01 13:00:00,27.8,72,145,2.2
2022-01-01 14:00:00,27.1,74,136,3.1
2022-01-01 15:00:00,27.4,74,120,3.9
2022-01-01 16:00:00,27.2,76,95,4.4
2022-01-01 17:00:00,27.0,76,85,4.4
2022-01-01 18:00:00,26.6,78,81,4.5
2022-01-01 19:00:00,25.4,84,79,4.2
2022-01-01 20:00:00,25.1,86,74,3.9
2022-01-01 21:00:00,25.1,86,72,3.2
2022-01-01 22:00:00,24.9,88,70,2.4
2022-01-01 23:00:00,24.7,89,72,1.6
2022-01-02 00:00:00,24.3,91,68,1.2
2022-01-02 01:00:00,24.3,92,64,0.3
2022-01-02 02:00:00,23.5,94,276,0.2
2022-01-02 03:00:00,23.6,96,327,0.7
2022-01-02 04:00:00,23.4,98,338,1.2
2022-01-02 05:00:00,23.5,98,330,1.5
2022-01-02 06:00:00,23.5,97,312,1.5
2022-01-02 07:00:00,24.9,93,290,1.2
2022-01-02 08:00:00,25.7,88,284,1.2
2022-01-02 09:00:00,26.8,82,295,1.1
2022-01-02 10:00:00,27.7,78,304,0.6
2022-01-02 11:00:00,29.2,72,147,0.4
2022-01-02 12:00:00,29.7,70,142,1.6
2022-01-02 13:00:00,30.2,68,138,3.0
2022-01-02 14:00:00,29.0,72,122,3.6
2022-01-02 15:00:00,28.8,75,107,3.5
2022-01-02 16:00:00,28.5,79,96,2.8
2022-01-02 17:00:00,27.9,82,93,2.0
2022-01-02 18:00:00,27.3,85,82,2.5
2022-01-02 19:00:00,26.4,90,71,2.7
2022-01-02 20:00:00,26.1,92,79,2.6
2022-01-02 21:00:00,26.1,92,76,2.3
2022-01-02 22:00:00,26.1,91,74,2.1
2022-01-02 23:00:00,26.0,91,68,1.2
2022-01-03 00:00:00,25.8,92,89,0.5
2022-01-03 01:00:00,25.5,94,206,0.4
2022-01-03 02:00:00,25.1,96,230,0.6
2022-01-03 03:00:00,25.0,96,236,0.9
2022-01-03 04:00:00,24.9,97,226,1.0
2022-01-03 05:00:00,24.8,97,211,0.8
2022-01-03 06:00:00,24.5,97,217,0.9
2022-01-03 07:00:00,25.5,95,168,1.2
2022-01-03 08:00:00,26.1,90,176,1.3
2022-01-03 09:00:00,26.7,87,178,1.4
2022-01-03 10:00:00,27.3,86,172,1.3
2022-01-03 11:00:00,27.9,84,155,1.9
2022-01-03 12:00:00,28.0,83,154,2.4
2022-01-03 13:00:00,28.3,83,154,3.0
2022-01-03 14:00:00,27.4,85,143,3.6
2022-01-03 15:00:00,27.2,86,130,3.9
2022-01-03 16:00:00,27.5,84,126,3.2
2022-01-03 17:00:00,27.3,86,109,3.0
2022-01-03 18:00:00,27.0,87,117,2.8
2022-01-03 19:00:00,26.1,90,111,2.9
2022-01-03 20:00:00,25.9,91,119,2.2
2022-01-03 21:00:00,25.8,92,150,1.6
2022-01-03 22:00:00,25.5,92,158,1.7
2022-01-03 23:00:00,25.6,93,144,1.4
2022-01-04 00:00:00,26.0,92,137,1.3
2022-01-04 01:00:00,25.3,95,136,1.1
2022-01-04 02:00:00,25.1,93,113,1.0
2022-01-04 03:00:00,24.9,94,186,0.3
2022-01-04 04:00:00,24.7,93,249,0.6
2022-01-04 05:00:00,24.6,93,260,0.9
2022-01-04 06:00:00,24.5,94,253,0.8
