Datetime,Temp,Umi,Vel_vento,Dir_vento,Precipitacao,Ori_vento
2000-07-06 09:00:00,9.7,65,1.5,263,0.0,O
2000-07-07 10:00:00,10.2,73,0.6,61,0.0,NE
2000-07-06 06:00:00,10.5,67,0.6,106,0.0,L
2000-07-06 02:00:00,10.6,75,1.1,148,0.0,SE
2000-07-07 11:00:00,10.7,71,0.4,12,0.1,N
2000-07-09 04:00:00,10.7,98,0.8,58,0.0,NE
2000-06-30 06:00:00,10.9,70,3.1,255,0.0,O
2000-07-06 05:00:00,11.1,67,0.6,57,0.0,NE
2000-06-30 05:00:00,11.1,70,3.2,264,0.0,O
2000-07-09 03:00:00,11.2,97,0.8,94,0.0,L
2000-07-11 06:00:00,11.2,99,0.7,167,0.0,S
2000-06-30 04:00:00,11.4,70,3.3,267,0.0,O
2000-07-09 08:00:00,11.5,98,0.4,74,0.0,L
2000-07-05 23:00:00,11.5,76,0.6,154,0.2,SE
2000-07-05 20:00:00,11.5,95,0.9,38,0.0,NE
2000-06-30 03:00:00,11.6,70,3.5,270,0.0,O
2000-06-30 08:00:00,11.6,70,2.5,252,0.0,O
2000-07-06 07:00:00,11.6,65,0.6,87,0.0,L
2000-07-06 04:00:00,11.6,65,0.7,92,0.0,L
2000-07-08 09:00:00,11.7,97,0.4,288,0.0,O
2000-07-06 01:00:00,11.7,68,1.6,206,0.0,SO
2000-07-07 01:00:00,11.8,77,0.5,99,0.0,L
2000-07-06 08:00:00,11.9,64,0.4,79,0.0,L
2000-06-30 07:00:00,11.9,68,2.4,247,0.0,SO
2000-07-07 02:00:00,11.9,78,0.7,122,0.0,SE
2000-07-17 10:00:00,12.0,95,0.8,5,0.2,N
2000-07-11 04:00:00,12.0,98,0.7,276,0.0,O
2000-07-07 03:00:00,12.1,79,0.3,6,0.0,N
2000-07-07 20:00:00,12.1,73,0.9,124,0.0,SE
2000-07-06 00:00:00,12.1,73,0.9,110,0.1,L
2000-07-06 03:00:00,12.1,66,0.6,78,0.0,L
2000-06-30 09:00:00,12.1,69,2.3,256,0.0,O
2000-07-11 03:00:00,12.1,98,0.4,77,0.0,L
2000-07-07 21:00:00,12.2,73,0.6,107,0.0,L
2000-07-13 06:00:00,12.2,95,0.4,49,0.0,NE
2000-07-07 06:00:00,12.2,79,0.8,88,0.0,L
2000-07-07 05:00:00,12.2,79,0.5,87,0.0,L
2000-07-07 04:00:00,12.2,79,0.5,65,0.0,NE
2000-07-16 19:00:00,12.2,63,1.1,180,0.0,S
2000-07-06 10:00:00,12.2,70,1.2,312,0.0,NO
2000-07-07 00:00:00,12.4,76,0.5,66,0.0,NE
2000-06-30 02:00:00,12.4,71,3.7,273,0.0,O
2000-07-16 18:00:00,12.5,75,0.7,56,0.0,NE
2000-07-13 05:00:00,12.5,95,0.7,98,0.0,L
2000-07-31 06:00:00,12.5,98,0.4,68,0.0,L
2000-06-15 06:00:00,12.5,99,0.6,52,0.0,NE
2000-06-15 04:00:00,12.7,100,0.4,128,0.0,SE
2000-07-05 19:00:00,12.7,94,0.7,67,0.0,NE
2000-06-15 05:00:00,12.7,99,0.4,59,0.0,NE
2000-09-06 00:00:00,12.7,96,1.0,236,0.0,SO
2000-05-16 05:00:00,12.7,94,0.7,68,0.0,L
2000-07-06 20:00:00,12.7,70,0.4,93,0.0,L
2000-09-07 05:00:00,12.7,97,0.3,59,0.0,NE
2000-07-12 03:00:00,12.7,98,0.6,3,0.0,N
2000-06-30 10:00:00,12.8,66,2.4,258,0.0,O
2000-08-29 05:00:00,13.0,97,0.6,253,0.0,O
2000-07-06 23:00:00,13.0,71,0.5,75,0.0,L
2000-09-05 23:00:00,13.0,95,0.3,96,0.0,L
2000-07-13 07:00:00,13.0,96,0.9,340,0.0,N
2000-06-15 08:00:00,13.0,100,0.2,130,0.0,SE
2000-07-18 02:00:00,13.0,97,0.5,186,0.0,S
2000-09-08 03:00:00,13.0,96,0.2,168,0.0,S
