Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2001-01-01,27.8,21.5,24.8,2.2,95,70,84.0,8.8,4.5,0.6,2.5,1.2,191.1,96.8,0.9,0.1,O
2001-01-02,30.2,23.4,26.4,2.2,98,68,86.1,9.5,3.6,0.2,1.7,1.0,174.3,107.6,2.6,0.2,L
2001-01-03,28.3,24.5,26.3,1.1,97,83,90.1,4.9,3.9,0.4,1.8,1.0,161.6,41.8,10.7,0.7,SE
2001-01-04,27.4,24.5,25.9,0.7,95,89,92.2,1.8,3.4,0.3,1.7,1.1,150.0,92.5,12.8,0.7,L
2001-01-05,31.7,24.7,27.3,2.4,95,61,82.8,10.3,5.1,0.5,3.1,1.3,254.4,93.0,10.9,0.7,NO
2001-01-06,26.1,23.3,24.6,0.8,94,85,89.0,3.5,6.6,0.9,5.3,1.7,186.8,43.4,74.5,3.8,S
2001-01-07,24.6,22.3,23.2,0.8,92,70,82.4,8.0,6.5,5.1,5.8,0.4,167.4,10.6,14.1,0.5,S
2001-01-08,24.1,22.4,23.1,0.6,93,68,81.7,8.2,5.9,4.0,4.8,0.5,136.1,6.6,7.0,0.3,SE
2001-01-09,24.2,21.6,22.7,0.8,93,67,80.4,7.2,4.4,0.9,3.5,1.0,142.7,17.3,4.8,0.2,SE
2001-01-10,26.1,21.4,23.2,1.4,95,82,90.5,4.8,4.8,0.2,1.6,1.6,175.0,58.8,16.5,0.5,S
2001-01-11,25.3,22.7,23.9,0.9,92,79,86.3,3.5,4.0,0.4,1.9,1.1,222.4,89.7,4.1,0.2,NO
2001-01-12,26.0,22.8,24.5,1.1,91,80,85.7,3.6,3.5,0.7,2.3,0.8,183.6,61.4,4.9,0.5,SO
