Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2001-01-31,33.8,21.4,25.7,2.3,98,51,84.2,8.4,7.8,0.2,2.7,1.7,166.8,87.0,412.2,1.5,SE
2001-02-28,35.5,21.7,25.7,1.9,100,58,86.1,8.0,7.5,0.0,2.6,1.5,154.1,83.2,437.3,2.1,SE
2001-03-31,33.5,18.7,25.1,2.8,100,58,86.9,11.0,4.9,0.1,1.2,0.9,160.0,96.3,230.6,0.8,L
2001-04-30,31.0,17.0,23.1,2.2,100,44,83.7,9.0,6.9,0.2,3.0,1.4,160.2,86.2,142.0,0.4,L
2001-05-31,32.5,12.7,20.6,3.3,97,48,85.4,11.0,4.5,0.1,1.0,0.7,156.4,94.4,70.2,0.3,L
2001-06-30,27.2,10.9,18.8,2.6,100,52,89.3,10.5,6.3,0.1,1.6,1.3,178.3,100.5,111.8,0.3,SO
2001-07-31,30.7,9.7,18.0,3.6,99,47,87.4,12.5,4.8,0.1,1.1,0.9,158.6,97.1,92.2,0.4,L
2001-08-31,34.2,13.0,18.9,3.0,99,37,84.2,12.4,5.0,0.1,1.4,1.1,155.8,95.0,54.9,0.3,L
2001-09-30,34.6,12.7,20.5,3.1,98,46,85.6,10.4,5.7,0.1,1.7,1.2,151.6,87.1,75.4,0.3,L
2001-10-31,33.1,14.7,21.5,2.8,100,46,86.1,10.6,5.2,0.1,1.7,1.1,148.0,80.7,166.5,0.4,L
2001-11-30,35.1,13.2,22.0,3.5,100,49,82.9,12.8,4.9,0.1,1.6,1.1,142.7,82.9,96.5,0.3,L
2001-12-31,38.5,14.7,24.3,3.9,95,39,80.5,10.0,5.2,0.2,1.6,1.1,158.0,98.1,74.9,0.4,L
