Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2000-01-02,30.2,21.5,25.57,2.32,25.8,98,68,85.06,9.1,88.0,4.5,0.2,2.09,1.18,2.05,182.69,101.62,143.5,3.5,0.18
2000-01-09,31.7,21.6,24.72,2.03,24.5,97,61,85.51,8.05,87.0,6.6,0.3,3.71,1.85,4.0,171.27,65.83,160.0,134.8,1.76
2000-01-16,31.5,21.4,24.96,1.79,24.65,95,62,86.23,5.67,86.5,4.8,0.2,1.98,1.13,1.9,157.63,89.68,148.0,37.6,0.37
2000-01-23,32.6,23.7,27.32,2.11,26.8,94,52,79.96,9.68,82.5,5.4,0.3,2.27,1.34,1.9,148.06,96.63,106.5,9.7,0.27
2000-01-30,33.8,22.7,25.85,2.42,25.45,95,51,84.38,8.79,88.0,7.8,0.2,3.09,1.96,3.0,175.7,80.9,167.5,196.2,2.3
2000-02-06,31.5,23.0,25.76,1.76,25.55,100,58,84.8,8.09,87.0,5.4,0.3,2.47,1.16,2.35,177.96,92.59,140.5,70.5,1.07
2000-02-13,31.0,22.1,26.04,1.7,25.7,100,60,83.99,8.02,85.5,7.4,0.0,2.85,1.55,2.8,159.03,82.5,140.0,33.0,0.34
2000-02-20,29.6,22.2,25.23,1.8,25.05,99,69,86.57,7.36,88.0,5.3,0.3,2.58,1.25,2.7,122.0,60.42,105.0,22.3,0.35
2000-02-27,35.5,21.7,25.66,2.36,25.2,98,58,88.54,7.26,91.0,7.5,0.2,2.63,1.84,2.2,167.28,92.37,145.5,337.7,3.87
2000-03-05,32.1,21.5,25.44,2.56,24.8,100,60,88.03,10.31,90.0,3.5,0.1,1.15,0.81,0.9,183.44,103.51,190.5,43.6,0.51
2000-03-12,30.5,18.7,23.97,2.71,24.2,100,61,86.46,10.7,87.0,4.9,0.1,1.24,0.96,0.9,138.64,90.98,109.5,66.4,0.82
2000-03-19,31.2,20.6,25.46,2.57,25.5,99,60,86.51,9.75,87.0,4.3,0.2,1.46,1.12,1.0,161.46,91.22,146.5,37.1,0.62
2000-03-26,31.7,21.5,25.83,2.34,25.5,100,60,88.0,10.76,90.0,3.3,0.1,1.17,0.83,0.9,156.05,89.42,133.0,38.8,0.92
2000-04-02,33.5,19.1,24.58,2.87,24.0,100,58,85.07,12.4,88.0,6.7,0.2,2.06,1.83,1.25,167.52,90.04,149.0,64.9,0.89
2000-04-09,30.8,20.2,25.02,1.78,24.6,98,63,83.83,7.44,84.0,5.3,0.5,2.6,1.24,2.5,136.55,82.48,110.5,39.5,0.47
2000-04-16,28.9,18.9,23.3,1.66,23.0,99,58,80.42,9.3,82.0,5.7,0.2,3.09,1.2,3.3,132.99,81.49,110.5,23.4,0.27
2000-04-23,31.0,17.0,21.88,2.01,21.7,100,44,82.48,10.56,85.0,5.9,0.4,2.98,1.4,2.7,159.14,95.97,134.0,43.6,0.47
2000-04-30,26.3,17.5,21.76,1.62,21.5,99,70,88.2,6.49,90.0,6.9,0.4,2.83,1.41,2.6,209.6,67.1,214.0,19.5,0.14
