Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2019-01-01,30.3,22.9,26.89,2.17,26.8,95.0,66.0,80.33,8.37,80.5,4.0,0.4,2.32,1.15,2.35,131.75,78.16,103.0,0.0,0.0
2019-01-02,31.4,22.2,27.12,3.24,27.05,96.0,63.0,80.75,12.65,82.5,4.1,0.1,1.38,1.2,1.1,128.96,102.64,104.5,0.0,0.0
2019-01-03,39.9,23.7,30.38,5.54,30.6,95.0,32.0,69.25,23.82,67.0,3.5,0.2,1.52,1.09,1.1,211.79,112.2,275.0,0.0,0.0
2019-01-04,32.8,24.3,28.4,2.59,28.0,94.0,55.0,73.25,10.67,70.5,3.6,0.6,1.55,0.95,1.15,171.21,98.69,165.0,8.2,1.55
2019-01-05,25.1,23.1,24.05,0.7,24.05,96.0,92.0,95.0,1.38,95.5,2.3,0.3,1.0,0.56,0.9,146.25,126.91,97.0,78.0,5.85
2019-01-06,29.0,23.7,25.82,1.66,25.4,96.0,73.0,86.58,7.64,86.5,2.8,0.1,1.4,0.9,1.25,163.88,87.54,149.5,0.2,0.04
2019-01-07,37.4,23.3,28.9,5.39,27.35,97.0,35.0,74.5,23.58,84.0,2.8,0.2,1.18,0.87,0.9,220.67,122.37,283.5,0.0,0.0
2019-01-08,36.8,23.9,29.36,4.43,27.85,95.0,42.0,74.17,19.11,79.5,3.5,0.4,1.32,0.91,1.1,178.29,94.76,141.0,0.0,0.0
2019-01-09,31.0,21.9,26.18,3.39,26.15,96.0,66.0,82.33,10.77,83.5,3.2,0.2,1.68,1.02,1.45,171.79,97.15,138.0,0.0,0.0
2019-01-10,33.2,23.1,27.72,3.37,26.9,96.0,60.0,81.58,12.45,85.0,4.6,0.1,1.62,1.22,1.15,138.04,96.21,112.0,0.0,0.0
2019-01-11,32.4,21.5,26.25,4.15,26.05,96.0,65.0,82.71,12.14,83.0,3.9,0.4,1.51,1.12,1.1,121.46,95.05,106.0,0.6,0.09
2019-01-12,31.1,23.1,27.02,3.0,26.9,96.0,63.0,81.71,13.32,84.0,3.3,0.2,1.5,1.06,1.2,154.29,80.98,136.5,0.0,0.0
2019-01-13,31.9,21.7,26.6,3.63,26.7,96.0,65.0,82.79,12.58,85.0,3.8,0.3,1.45,1.25,0.8,137.54,97.58,107.0,0.0,0.0
2019-01-14,31.9,23.1,27.3,3.17,26.35,96.0,63.0,82.29,12.34,82.0,4.0,0.2,1.46,1.22,0.95,141.75,101.25,109.5,0.0,0.0
2019-01-15,36.4,22.9,27.76,4.71,26.2,95.0,41.0,75.54,18.4,82.0,3.7,0.1,1.31,0.9,1.4,174.25,120.6,182.0,0.0,0.0
2019-01-16,37.8,22.5,27.37,4.82,26.6,96.0,43.0,78.25,18.38,82.0,6.4,0.4,1.72,1.24,1.65,232.96,112.86,285.5,27.0,5.13
