Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2019-01-31,39.9,20.0,27.3,3.8,97.0,32.0,80.7,14.9,6.4,0.1,1.5,1.1,163.0,102.2,143.6,1.6,L
2019-02-28,38.2,18.5,24.9,3.8,98.0,34.0,84.9,13.8,5.0,0.1,1.4,1.0,169.7,95.1,675.6,3.4,L
2019-03-31,35.9,17.5,24.7,3.2,98.0,38.0,86.7,11.6,4.9,0.1,1.4,1.0,161.4,95.9,544.6,2.8,L
2019-04-30,35.7,16.0,23.2,3.3,98.0,41.0,89.2,11.5,5.3,0.1,1.1,0.8,158.8,95.8,234.2,1.4,L
2019-05-31,31.8,12.7,21.7,3.0,99.0,54.0,90.1,9.3,5.2,0.1,1.2,1.0,154.2,98.4,523.0,2.6,L
2019-06-30,31.7,12.2,19.7,3.5,99.0,37.0,89.9,12.0,5.1,0.1,0.9,0.7,163.6,103.6,88.0,0.6,L
2019-07-31,30.8,5.3,17.3,4.4,99.0,37.0,88.4,12.6,4.8,0.1,1.1,0.9,159.0,97.4,148.4,0.9,L
2019-08-31,34.5,6.1,17.8,4.0,99.0,30.0,87.5,12.1,5.9,0.1,1.5,1.1,163.0,90.0,160.0,0.8,L
2019-09-30,36.9,11.7,19.4,3.2,98.0,31.0,89.0,10.6,5.9,0.1,1.7,1.0,164.3,80.6,233.2,0.9,S
2019-10-31,33.8,16.1,22.4,3.2,98.0,46.0,85.5,11.1,4.9,0.1,1.7,1.1,149.7,79.7,236.2,1.5,L
2019-11-30,34.7,14.2,22.8,2.7,97.0,51.0,83.5,11.0,5.5,0.1,1.9,1.2,126.1,77.3,171.4,1.1,L
2019-12-31,34.9,15.5,23.8,3.0,97.0,43.0,84.2,11.5,4.7,0.1,1.5,1.1,149.3,90.5,176.0,1.2,L
