Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2020-01-31,37.5,16.5,25.25,3.59,24.7,98.0,37.0,81.93,13.38,85.0,6.7,0.0,1.6,1.12,1.35,149.57,90.23,119.0,167.8,1.1
2020-02-29,35.8,17.5,24.39,3.08,24.1,97.0,39.0,86.07,10.71,89.0,4.9,0.1,1.51,1.06,1.3,151.66,91.83,114.0,592.4,4.4
2020-03-31,34.4,15.8,23.37,3.25,23.3,98.0,48.0,84.28,11.6,87.0,5.7,0.1,1.46,1.11,1.0,134.71,87.91,107.0,239.0,1.76
2020-04-30,34.5,12.3,21.27,3.92,21.2,98.0,31.0,83.37,14.5,88.0,4.3,0.0,1.12,0.87,0.7,142.62,92.15,114.5,54.2,0.47
2020-05-31,30.0,7.3,18.67,4.71,18.9,99.0,34.0,82.91,15.58,88.0,5.4,0.1,1.09,0.84,0.8,160.07,102.19,119.5,58.2,0.6
2020-06-30,32.8,12.0,19.8,4.05,19.3,99.0,41.0,88.68,13.64,96.0,5.7,0.0,1.16,0.85,0.9,159.38,99.08,140.0,363.0,1.73
2020-07-31,32.8,9.3,18.47,4.07,18.3,99.0,28.0,85.53,14.68,91.0,5.7,0.0,1.22,0.9,0.9,156.11,95.41,135.5,126.4,0.67
2020-08-31,32.1,9.1,17.85,3.62,18.3,99.0,32.0,90.6,10.06,95.0,5.0,0.0,1.24,0.94,0.9,154.56,96.24,141.5,177.0,0.88
2020-09-30,34.1,14.6,20.53,2.78,20.1,99.0,45.0,89.47,9.07,92.0,5.2,0.1,1.53,1.02,1.3,161.84,83.14,152.0,102.4,0.44
2020-10-31,40.9,13.5,22.27,3.23,22.0,99.0,25.0,84.59,12.96,88.0,5.5,0.1,1.78,1.13,1.6,144.68,78.92,118.5,244.2,1.23
2020-11-30,35.1,12.2,22.11,3.72,22.1,99.0,39.0,83.46,13.17,87.0,4.9,0.1,1.6,1.12,1.3,144.64,85.49,114.0,175.4,1.34
2020-12-31,37.0,17.5,24.52,3.21,23.9,99.0,40.0,84.74,13.09,89.0,5.0,0.1,1.6,1.16,1.3,151.42,94.53,113.5,259.2,1.5
