Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Temp_mediana,Umi_max,Umi_min,Umi_med,Umi_dp,Umi_mediana,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Vel_vento_mediana,Dir_vento_med,Dir_vento_dp,Dir_vento_mediana,Chuva_tot,Chuva_dp
2023-01-01,28.3,20.0,24.15,3.03,24.15,93.0,65.0,80.71,10.74,82.0,3.0,0.1,1.28,0.95,1.15,128.38,87.0,105.0,0.0,0.0
2023-01-08,33.0,18.6,22.92,2.91,22.5,93.0,46.0,82.04,10.63,86.0,5.0,0.2,1.59,1.04,1.4,165.2,90.79,138.0,112.2,3.0
2023-01-15,33.5,19.6,24.94,3.59,23.9,94.0,45.0,80.71,12.74,85.0,4.0,0.0,1.2,0.8,1.0,159.0,106.11,130.5,8.0,0.31
2023-01-22,34.9,20.0,25.65,3.04,25.5,94.0,40.0,81.54,11.89,84.5,3.9,0.2,1.33,1.04,1.0,164.57,92.1,142.0,5.0,0.19
2023-01-29,32.5,20.1,25.77,3.22,25.55,94.0,40.0,76.86,12.58,77.0,5.0,0.1,1.75,1.35,1.3,141.7,95.05,101.5,4.8,0.3
2023-02-05,34.0,21.4,26.24,3.48,25.05,93.0,44.0,77.76,14.42,82.5,4.6,0.1,1.27,0.9,1.0,180.19,112.23,220.5,67.0,2.12
2023-02-12,30.4,19.4,25.26,2.82,25.05,94.0,52.0,81.35,11.3,85.0,4.2,0.2,1.32,1.12,0.9,155.89,95.48,114.5,18.0,0.96
2023-02-19,35.6,20.1,25.43,3.83,24.2,93.0,42.0,79.43,14.45,86.0,6.4,0.2,1.66,1.2,1.4,175.52,91.24,182.5,108.8,1.93
2023-02-26,34.8,19.7,24.87,3.58,23.7,94.0,46.0,83.19,12.94,90.5,4.2,0.1,1.18,0.78,0.9,183.62,100.38,189.0,71.0,2.08
2023-03-05,32.1,20.5,24.71,2.65,24.0,94.0,53.0,83.92,10.41,89.0,5.3,0.2,1.22,0.94,0.9,166.4,107.27,139.5,130.4,3.92
2023-03-12,34.1,20.3,24.98,3.27,23.6,94.0,40.0,82.55,14.19,90.0,3.9,0.2,1.07,0.79,0.8,168.29,107.1,131.0,104.4,2.47
2023-03-19,29.6,18.7,24.87,2.53,25.2,94.0,61.0,82.71,8.61,83.5,4.2,0.1,1.83,1.23,1.8,117.53,76.86,93.5,24.4,0.87
2023-03-26,36.5,19.7,25.27,3.77,24.95,94.0,41.0,80.8,13.15,85.5,5.3,0.1,1.25,0.96,0.9,143.73,89.88,109.5,5.4,0.29
2023-04-02,31.2,19.6,23.97,2.61,23.5,95.0,56.0,81.9,10.74,83.5,3.1,0.2,1.09,0.77,0.8,160.9,100.65,122.0,73.4,2.13
2023-04-09,28.3,16.4,22.51,2.85,22.05,95.0,60.0,83.8,10.63,89.5,3.8,0.1,1.39,0.97,1.2,152.08,87.53,115.5,110.8,1.7
2023-04-16,32.2,15.1,22.62,3.17,22.65,95.0,49.0,84.37,10.64,89.0,3.6,0.1,1.14,0.83,0.8,152.19,92.4,119.5,35.0,1.02
2023-04-23,30.6,11.6,20.85,4.07,21.8,95.0,38.0,83.83,14.05,91.0,3.5,0.2,1.05,0.72,0.75,150.46,94.87,120.0,53.4,1.4
2023-04-30,27.3,17.2,21.63,2.51,21.65,95.0,58.0,84.15,9.82,87.0,3.5,0.2,1.1,0.8,0.8,145.69,100.05,109.0,26.4,0.57
2023-05-07,29.5,18.2,22.68,2.78,22.4,95.0,59.0,86.86,8.66,91.0,2.7,0.2,0.95,0.7,0.6,145.44,95.11,104.0,0.2,0.02
2023-05-14,32.4,11.2,20.43,3.64,21.0,95.0,45.0,83.4,12.48,90.0,3.3,0.1,1.11,0.79,0.9,161.68,91.33,148.0,17.8,0.51
2023-05-21,26.3,11.4,17.68,4.26,16.35,96.0,48.0,81.95,15.08,91.0,2.7,0.2,0.82,0.59,0.6,151.23,101.79,115.5,0.4,0.02
2023-05-28,31.1,15.0,20.63,3.33,20.3,95.0,42.0,86.88,10.78,92.0,4.5,0.1,0.99,0.83,0.7,163.58,99.81,129.0,7.0,0.27
2023-06-04,28.0,13.7,19.21,2.68,18.8,95.0,56.0,87.78,9.21,92.0,3.0,0.2,1.03,0.68,0.9,162.95,94.48,147.0,39.6,0.67
2023-06-11,33.0,13.5,19.27,4.5,17.8,96.0,30.0,84.33,16.05,93.0,3.8,0.2,0.89,0.69,0.7,166.42,108.55,123.5,0.6,0.03
2023-06-18,22.0,10.8,16.84,2.93,17.2,95.0,52.0,87.07,11.29,91.5,4.5,0.0,1.43,1.06,1.1,197.95,91.94,214.0,164.8,1.95
2023-06-25,30.5,11.7,18.72,4.53,18.2,96.0,42.0,82.88,15.12,91.5,3.1,0.0,0.77,0.67,0.6,130.19,107.37,105.5,0.0,0.0
2023-07-02,30.3,12.6,19.08,4.1,17.9,95.0,40.0,84.45,14.91,92.0,2.2,0.0,0.2,0.4,0.0,41.99,85.17,0.0,32.8,1.38
2023-07-09,29.4,9.9,17.82,4.1,17.9,95.0,34.0,84.1,14.75,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.74
2023-07-16,27.9,8.5,18.1,4.21,18.9,95.0,26.0,83.42,16.05,92.0,2.2,0.0,0.2,0.49,0.0,30.65,83.44,0.0,8.4,0.22
2023-07-23,26.0,13.7,18.05,2.39,17.4,95.0,64.0,88.12,7.35,91.0,4.2,0.0,1.25,1.14,1.0,105.76,95.5,91.5,88.4,1.08
2023-07-30,29.0,13.5,18.64,3.33,18.0,96.0,50.0,86.65,10.29,91.0,3.7,0.0,0.66,0.89,0.0,87.63,107.17,0.0,21.6,0.45
2023-08-06,28.6,12.4,18.72,3.85,17.8,96.0,36.0,84.89,13.5,92.0,2.9,0.0,0.55,0.75,0.0,68.17,100.49,0.0,0.4,0.02
2023-08-13,33.7,15.7,19.45,3.07,18.9,95.0,31.0,86.12,11.68,90.0,5.4,0.0,1.19,1.45,0.0,79.61,99.57,0.0,95.8,1.08
2023-08-20,34.3,14.9,20.56,3.48,20.1,95.0,32.0,85.64,12.88,91.0,3.1,0.0,0.39,0.74,0.0,45.1,93.74,0.0,20.8,0.3
2023-08-27,36.6,14.6,20.36,5.04,18.2,95.0,29.0,78.46,17.42,89.0,3.8,0.0,0.56,1.01,0.0,51.17,93.91,0.0,70.6,1.16
2023-09-03,33.1,13.9,18.48,3.55,17.8,95.0,55.0,86.03,9.93,91.0,4.5,0.0,0.36,0.87,0.0,36.1,88.33,0.0,52.2,0.88
2023-09-10,35.6,17.9,21.5,3.13,20.8,94.0,47.0,82.54,8.94,84.0,3.2,0.0,0.17,0.58,0.0,18.4,66.51,0.0,11.2,0.37
2023-09-17,35.3,11.0,20.45,4.63,20.2,95.0,31.0,82.29,13.79,89.0,4.0,0.0,0.38,0.89,0.0,27.8,74.49,0.0,5.8,0.17
2023-09-24,40.2,15.5,23.69,4.5,22.7,95.0,30.0,79.96,15.24,85.0,4.8,0.0,0.32,0.81,0.0,33.64,87.15,0.0,0.0,0.0
2023-10-01,28.4,17.6,21.5,1.96,21.35,94.0,66.0,85.57,7.1,87.0,3.7,0.0,0.26,0.77,0.0,10.09,30.58,0.0,40.4,0.96
2023-10-08,24.0,17.4,20.21,1.38,20.3,95.0,76.0,89.98,4.62,92.0,5.0,0.0,0.34,0.9,0.0,32.48,79.66,0.0,126.0,2.25
2023-10-15,26.2,16.9,20.35,2.08,19.95,94.0,68.0,86.63,6.47,89.0,4.7,0.0,0.42,0.93,0.0,33.79,68.79,0.0,80.0,1.26
2023-10-22,28.5,18.1,20.64,1.77,20.4,95.0,66.0,87.58,6.85,90.0,3.7,0.0,0.28,0.83,0.0,19.26,57.73,0.0,93.2,2.29
2023-10-29,29.4,19.0,22.3,2.2,21.85,94.0,65.0,86.38,7.52,89.0,3.7,0.0,0.28,0.75,0.0,20.72,54.63,0.0,87.8,2.8
2023-11-05,32.2,14.4,22.25,3.04,22.5,95.0,46.0,83.8,11.97,89.5,2.9,0.0,0.16,0.53,0.0,17.43,62.17,0.0,34.8,1.12
2023-11-12,39.5,13.2,23.16,4.34,23.4,95.0,32.0,78.61,13.64,83.0,6.5,0.0,0.81,1.23,0.0,56.05,98.2,0.0,0.0,0.0
2023-11-19,40.0,21.4,25.76,3.58,24.7,95.0,33.0,83.26,12.88,88.0,5.6,0.0,0.64,1.27,0.0,50.52,100.11,0.0,43.2,1.05
2023-11-26,33.2,17.5,22.49,2.88,22.2,95.0,58.0,86.67,8.04,89.5,3.4,0.0,0.2,0.64,0.0,17.74,61.37,0.0,46.0,0.78
2023-12-03,31.0,20.3,25.01,2.7,24.65,95.0,61.0,85.33,9.34,89.0,5.7,0.0,0.76,1.28,0.0,39.14,77.92,0.0,38.8,2.29
2023-12-10,38.9,19.3,24.91,3.53,24.2,95.0,38.0,83.2,11.8,88.0,4.0,0.0,0.61,1.02,0.0,40.72,82.02,0.0,55.6,0.91
2023-12-17,29.9,16.8,24.19,3.28,23.8,95.0,59.0,81.93,11.69,83.0,3.5,0.0,0.83,1.12,0.0,55.07,73.24,0.0,4.8,0.15
2023-12-24,31.6,20.0,25.81,2.78,25.55,95.0,61.0,79.52,10.24,81.0,4.1,0.0,1.35,1.23,1.15,84.39,86.52,83.0,1.8,0.12
2023-12-31,37.2,17.3,25.25,4.17,25.15,95.0,35.0,76.63,14.71,78.0,4.0,0.0,1.07,1.16,0.75,85.35,98.41,80.5,15.4,0.5
