Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2024-01-01,28.8,23.4,25.7,1.7,77.0,59.0,69.2,5.9,4.9,1.0,2.9,1.3,82.0,10.1,0.0,0.0,L
2024-01-02,29.6,20.2,24.9,2.6,93.0,62.0,76.2,8.9,3.2,0.6,2.0,0.9,108.2,57.8,0.0,0.0,L
2024-01-03,27.9,20.9,24.6,2.2,94.0,68.0,82.7,7.7,5.7,0.7,2.7,1.7,170.4,39.0,0.0,0.0,SE
2024-01-04,27.6,24.1,25.5,1.2,87.0,69.0,78.5,5.1,3.7,0.4,1.9,0.8,149.1,49.5,0.0,0.0,S
2024-01-05,27.9,21.7,24.5,2.1,94.0,68.0,84.2,9.4,,,,,,,8.2,0.6,
2024-01-06,28.4,22.2,24.5,2.2,94.0,68.0,85.1,9.6,3.2,1.6,2.4,0.6,110.6,4.8,12.2,1.3,L
2024-01-07,29.4,20.0,24.9,3.1,94.0,63.0,80.5,10.5,3.1,0.4,2.0,1.1,134.9,91.3,0.0,0.0,L
2024-01-08,31.5,20.6,26.1,4.3,95.0,62.0,79.4,13.6,4.1,0.5,1.9,1.2,173.9,104.5,0.0,0.0,L
2024-01-09,34.9,23.3,28.3,4.0,92.0,45.0,69.6,16.6,5.3,0.4,2.5,1.3,204.1,82.0,0.0,0.0,SE
2024-01-10,31.7,23.1,27.5,2.7,93.0,65.0,78.7,9.2,4.2,0.5,2.0,1.2,97.1,63.7,0.0,0.0,L
2024-01-11,37.3,23.4,29.1,4.5,93.0,39.0,72.1,18.4,3.5,0.4,1.6,1.0,171.6,125.1,0.0,0.0,O
2024-01-12,29.2,23.7,24.9,1.3,94.0,69.0,89.5,6.0,4.2,2.2,2.9,0.7,157.0,58.9,46.6,3.1,S
2024-01-13,27.6,23.7,25.5,1.0,88.0,59.0,71.0,9.1,3.2,0.6,2.0,0.7,142.8,36.9,7.0,0.8,SE
2024-01-14,29.1,20.9,24.9,2.9,94.0,58.0,76.7,13.2,3.9,0.1,1.6,1.3,162.7,89.1,0.0,0.0,L
2024-01-15,35.0,20.0,26.1,5.2,95.0,54.0,80.5,13.9,3.1,0.8,2.0,0.8,185.9,114.4,0.0,0.0,L
2024-01-16,37.0,24.6,29.8,4.4,94.0,40.0,74.8,18.5,3.5,0.4,2.1,1.0,212.4,112.1,0.0,0.0,O
2024-01-17,35.2,24.5,27.4,3.0,93.0,52.0,83.4,11.0,4.7,0.5,2.0,1.4,185.7,90.7,11.8,2.4,O
2024-01-18,30.9,23.9,26.7,2.6,94.0,66.0,84.1,10.4,,,,,,,0.2,0.0,
2024-01-19,37.1,23.6,27.5,4.4,93.0,47.0,79.9,15.7,1.6,1.6,1.6,,291.0,,12.6,1.2,O
2024-01-20,34.5,23.2,26.9,3.6,93.0,56.0,83.4,12.8,,,,,,,21.8,2.9,
2024-01-21,27.0,20.8,23.5,1.6,95.0,78.0,90.5,5.3,2.9,0.7,1.5,0.6,126.6,99.7,99.8,7.1,NE
2024-01-22,28.4,22.4,25.0,1.9,92.0,64.0,79.4,8.8,3.5,1.8,2.7,0.6,94.3,10.2,13.2,2.0,L
2024-01-23,25.0,20.0,22.3,1.5,93.0,72.0,85.1,7.0,3.1,0.6,1.8,0.9,113.6,60.0,27.6,2.2,L
2024-01-24,25.6,19.2,21.2,1.7,95.0,72.0,89.1,6.8,2.2,0.3,1.2,0.7,188.2,116.9,21.4,1.7,L
2024-01-25,22.5,19.6,20.5,0.8,95.0,87.0,91.8,3.0,2.8,0.4,1.6,1.7,290.0,39.6,54.6,2.5,NO
2024-01-26,23.0,19.0,20.4,1.3,95.0,85.0,92.4,2.7,1.2,0.4,0.8,0.2,133.4,130.8,61.0,5.7,N
2024-01-27,26.8,19.8,22.8,2.6,94.0,69.0,84.8,9.0,2.3,1.0,1.7,0.5,157.1,22.6,4.0,0.3,SE
2024-01-28,25.9,20.1,23.0,2.0,95.0,74.0,86.8,7.7,4.1,1.0,1.6,1.0,133.0,28.6,0.6,0.1,SE
2024-01-29,30.0,19.7,23.7,3.3,95.0,63.0,86.2,11.5,3.4,0.8,1.9,1.0,210.9,114.4,22.6,4.6,L
2024-01-30,31.0,19.9,24.6,3.2,95.0,54.0,84.4,11.2,3.2,0.4,1.8,1.1,171.6,84.5,0.2,0.0,L
2024-01-31,29.8,22.6,25.6,2.5,95.0,64.0,84.9,10.1,3.2,0.5,2.0,0.9,137.3,69.0,0.0,0.0,L
2024-02-01,26.0,22.6,23.6,0.9,94.0,85.0,91.2,2.8,0.6,0.3,0.4,0.2,135.0,43.8,9.6,1.3,L
2024-02-02,28.2,20.9,24.0,2.3,95.0,71.0,87.9,8.4,3.4,0.6,2.2,1.0,123.4,45.2,12.0,1.8,L
2024-02-03,28.8,21.8,25.0,2.2,95.0,68.0,84.9,8.1,2.6,0.4,1.5,0.7,133.2,72.3,1.0,0.2,L
2024-02-04,32.7,22.6,26.5,3.0,94.0,53.0,82.8,12.0,1.9,0.4,1.1,0.5,160.6,140.2,0.0,0.0,L
2024-02-05,32.6,21.3,26.3,3.8,94.0,62.0,82.4,12.4,3.5,0.4,2.1,1.1,127.2,41.0,0.0,0.0,L
2024-02-06,30.2,22.6,26.7,2.7,95.0,64.0,82.8,11.2,3.4,0.3,2.0,1.0,141.9,82.6,0.0,0.0,L
2024-02-07,31.2,21.4,25.8,3.4,95.0,59.0,82.5,11.7,3.7,0.1,1.6,1.2,141.4,103.6,0.0,0.0,L
2024-02-08,31.0,21.2,26.1,3.6,95.0,64.0,82.5,11.6,4.0,0.2,2.1,1.4,152.1,100.1,0.0,0.0,L
2024-02-09,31.3,22.5,26.8,3.0,94.0,67.0,82.5,10.2,4.2,0.7,2.6,1.3,127.6,79.3,0.0,0.0,L
2024-02-10,31.0,26.2,28.0,1.7,86.0,64.0,78.2,6.8,4.4,0.7,2.6,0.9,99.5,44.0,0.0,0.0,L
2024-02-11,32.4,23.9,27.4,2.3,92.0,62.0,79.0,8.8,3.9,0.4,1.6,1.2,108.5,67.5,0.0,0.0,L
2024-02-12,37.1,22.9,28.7,5.2,95.0,41.0,73.7,21.4,3.3,0.4,1.7,0.9,222.5,111.4,0.0,0.0,O
2024-02-13,40.1,24.4,30.9,5.3,92.0,33.0,65.2,21.1,3.1,0.2,1.4,0.9,177.2,103.1,0.4,0.1,O
2024-02-14,25.0,22.9,23.8,0.7,95.0,88.0,92.5,1.4,4.4,1.9,3.4,1.0,187.0,15.9,100.0,7.5,S
2024-02-15,27.4,22.3,24.5,1.5,92.0,58.0,78.2,11.0,2.1,0.5,1.0,0.5,167.9,78.4,2.2,0.4,S
2024-02-16,27.8,20.8,23.7,2.5,94.0,62.0,82.4,11.7,1.9,0.3,1.1,0.5,116.8,59.2,0.2,0.0,L
