Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2024-01-07,29.6,20.0,24.9,2.2,94.0,59.0,79.5,9.7,5.7,0.4,2.3,1.2,122.5,58.7,20.4,0.6,L
2024-01-14,37.3,20.6,26.6,3.5,95.0,39.0,76.7,14.2,5.3,0.1,2.0,1.1,156.9,88.2,53.6,1.4,SE
2024-01-21,37.1,20.0,26.9,4.1,95.0,40.0,82.4,13.6,4.7,0.4,1.9,1.0,174.6,107.4,146.2,3.3,O
2024-01-28,28.4,19.0,22.2,2.3,95.0,64.0,87.0,7.9,4.1,0.3,1.6,0.9,142.4,81.8,182.4,2.8,L
2024-02-04,32.7,19.7,24.7,2.7,95.0,53.0,86.0,9.8,3.4,0.3,1.7,0.9,152.7,92.6,45.4,1.9,L
2024-02-11,32.6,21.2,26.7,3.0,95.0,59.0,81.4,10.5,4.4,0.1,2.1,1.2,124.9,75.9,0.0,0.0,L
2024-02-18,40.1,20.2,25.7,4.2,95.0,33.0,81.0,16.1,4.4,0.2,1.4,0.9,173.5,92.8,116.2,3.2,S
2024-02-25,33.7,20.9,25.1,2.9,95.0,56.0,86.7,9.6,5.3,0.2,1.9,1.1,151.8,75.5,22.4,0.5,L
2024-03-03,32.3,19.0,26.1,2.8,96.0,60.0,84.2,10.8,6.0,0.3,1.9,0.9,148.5,82.0,74.6,2.0,L
2024-03-10,32.7,19.9,25.6,2.6,95.0,61.0,84.7,9.2,4.0,0.2,2.2,0.9,127.4,69.6,30.0,0.7,L
2024-03-17,36.7,19.0,26.1,3.7,96.0,52.0,82.5,12.2,4.1,0.2,1.5,1.0,142.2,96.8,27.8,1.8,L
2024-03-24,39.3,20.0,26.0,3.6,95.0,39.0,81.5,12.8,3.7,0.3,1.5,0.9,179.9,115.7,52.8,1.3,L
2024-03-31,29.6,19.5,23.7,2.3,96.0,60.0,87.2,9.5,,,,,,,29.2,0.6,
2024-04-07,32.5,19.6,24.3,3.1,96.0,51.0,84.5,11.2,,,,,,,36.2,1.2,
2024-04-14,29.1,20.6,24.6,2.2,96.0,69.0,86.2,8.4,,,,,,,60.2,1.6,
2024-04-21,32.2,14.0,22.3,3.8,96.0,44.0,85.3,12.2,,,,,,,20.6,0.7,
2024-04-28,32.3,16.1,23.5,3.5,96.0,55.0,87.1,10.9,,,,,,,12.8,0.4,
2024-05-05,36.4,19.7,25.1,3.9,96.0,34.0,83.9,15.4,3.1,0.2,1.3,1.0,264.2,94.9,4.2,0.2,O
2024-05-12,34.8,18.6,24.5,4.2,96.0,40.0,83.5,16.2,3.5,0.2,1.4,0.8,174.2,104.4,6.0,0.2,O
2024-05-19,35.5,17.2,21.1,3.6,97.0,33.0,89.0,12.5,4.8,0.2,1.4,1.2,182.4,110.8,96.0,1.1,N
2024-05-26,32.2,15.6,20.4,2.8,96.0,45.0,87.3,9.4,4.3,0.2,1.4,1.0,181.8,99.3,46.6,0.8,SE
2024-06-02,25.2,9.5,16.8,3.9,97.0,49.0,88.2,13.1,3.2,0.4,1.6,0.8,176.6,93.4,30.2,0.8,SO
2024-06-09,30.1,13.8,19.2,3.0,97.0,49.0,90.5,9.7,4.4,0.2,1.1,0.9,178.2,105.9,22.0,0.4,L
2024-06-16,31.3,12.9,20.4,4.3,97.0,46.0,86.8,14.4,3.5,0.2,1.0,0.7,154.3,113.5,0.4,0.0,NE
2024-06-23,32.0,13.6,20.6,4.4,98.0,39.0,85.5,15.8,3.1,0.3,1.0,0.6,151.5,98.6,0.2,0.0,NE
2024-06-30,30.3,12.6,19.4,3.1,97.0,46.0,86.1,10.6,4.5,0.2,1.4,0.9,165.6,80.7,39.2,0.6,SE
2024-07-07,29.6,8.8,17.0,3.9,98.0,52.0,89.7,9.4,3.1,0.3,1.4,0.7,181.3,85.7,9.2,0.2,L
2024-07-14,19.7,13.7,15.6,1.3,97.0,84.0,94.6,3.2,2.5,0.4,1.4,0.7,184.1,96.6,108.4,1.1,S
2024-07-21,22.8,11.0,16.6,2.4,98.0,62.0,92.8,7.3,2.8,0.4,1.2,0.6,141.6,93.8,15.2,0.3,L
2024-07-28,25.8,10.0,16.8,3.5,98.0,62.0,92.0,9.3,2.6,0.3,1.1,0.5,146.7,101.8,0.8,0.0,L
2024-08-04,32.2,14.0,18.4,3.1,98.0,44.0,91.5,9.6,3.6,0.3,1.3,0.7,157.0,90.7,66.6,1.1,L
2024-08-11,31.8,6.1,17.5,4.1,99.0,42.0,89.7,12.7,3.1,0.2,1.4,0.7,150.5,94.9,39.0,0.8,L
2024-08-18,33.0,7.8,16.0,5.2,99.0,32.0,86.1,16.3,3.1,0.1,1.2,0.8,173.0,107.8,0.2,0.0,L
2024-08-25,30.2,12.7,18.8,3.5,98.0,60.0,89.0,10.7,3.6,0.3,1.6,0.9,169.8,87.3,60.6,1.3,S
2024-09-01,29.9,4.8,16.3,5.3,98.0,48.0,87.2,12.7,3.4,0.2,1.2,0.7,153.6,90.2,0.0,0.0,SE
2024-09-08,26.4,15.4,18.8,2.2,99.0,73.0,92.2,6.6,3.4,0.2,1.2,0.6,158.8,95.7,21.6,0.5,L
2024-09-15,37.3,16.1,21.3,4.7,99.0,29.0,87.8,16.1,3.2,0.1,1.2,0.8,167.0,97.2,29.0,0.8,NE
2024-09-22,24.8,16.2,19.7,1.8,100.0,69.0,92.2,7.0,3.6,0.2,1.8,0.9,117.5,60.3,80.2,1.5,L
2024-09-29,26.1,14.9,21.2,2.2,100.0,67.0,90.7,8.1,3.8,0.1,1.4,0.9,134.2,70.7,4.2,0.2,L
2024-10-06,38.4,15.6,21.1,3.7,100.0,34.0,88.2,11.0,3.7,0.1,1.5,0.9,141.9,74.4,56.8,0.8,L
2024-10-13,27.1,17.1,21.5,2.2,100.0,61.0,89.8,9.2,3.8,0.2,1.6,1.0,128.9,58.5,22.6,0.5,SE
2024-10-20,26.8,17.1,21.3,2.2,99.0,69.0,88.0,8.2,3.7,0.2,1.8,0.8,105.2,40.0,7.0,0.2,L
2024-10-27,34.3,18.8,24.2,3.2,100.0,58.0,86.4,12.1,4.5,0.2,2.0,0.9,145.6,75.7,24.4,0.8,L
2024-11-03,27.0,19.1,22.9,1.8,98.0,71.0,85.9,8.6,4.3,0.2,2.1,0.8,98.0,32.6,27.4,1.5,L
2024-11-10,29.5,18.8,23.3,2.0,97.0,63.0,87.9,9.0,3.3,0.2,1.5,0.8,140.5,76.2,20.6,0.5,SE
2024-11-17,27.9,14.3,22.0,2.8,98.0,52.0,85.1,11.0,3.7,0.1,1.7,0.9,128.6,71.0,37.2,0.8,L
2024-11-24,28.2,18.3,22.9,2.3,98.0,61.0,86.3,10.3,4.5,0.2,2.0,1.1,112.5,55.5,33.0,0.6,L
2024-12-01,35.8,17.3,24.6,3.6,98.0,52.0,83.9,12.2,3.9,0.1,1.6,1.0,137.3,75.6,12.8,0.6,L
2024-12-08,36.6,20.8,24.0,3.1,100.0,45.0,87.2,12.0,3.7,0.3,1.4,0.9,148.1,90.4,89.2,1.2,L
2024-12-15,35.1,18.4,23.5,3.0,100.0,34.0,85.5,14.0,4.5,0.3,1.8,1.0,164.4,97.3,29.4,0.6,L
2024-12-22,34.5,19.5,24.8,2.8,100.0,31.0,81.6,14.2,4.3,0.3,1.9,1.0,131.5,65.0,19.8,1.0,SE
2024-12-29,29.0,20.6,24.1,1.9,100.0,71.0,90.8,8.7,5.3,0.2,1.8,1.4,152.1,64.7,149.4,2.4,L
2025-01-05,28.3,20.9,24.2,2.0,100.0,71.0,88.1,9.3,5.6,0.2,2.2,1.5,138.0,89.9,7.2,0.5,L
