Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2001-01-07,31.7,21.5,25.5,2.0,98,61,86.7,8.0,6.6,0.2,3.1,2.0,183.6,82.3,126.5,1.8,S
2001-01-14,27.9,21.4,23.9,1.4,95,67,84.8,6.1,5.9,0.2,2.6,1.5,163.5,60.1,45.9,0.4,SE
2001-01-21,32.6,23.7,27.3,2.1,94,52,82.2,9.7,5.4,0.4,2.1,1.2,149.6,110.0,12.6,0.3,L
2001-01-28,33.8,23.1,26.7,2.2,95,51,81.1,9.4,7.8,0.2,3.0,2.0,158.1,88.6,128.1,2.3,L
2001-02-04,31.5,22.7,25.3,1.9,100,58,85.4,8.1,5.4,0.3,2.5,1.2,176.6,86.3,127.6,1.2,SE
2001-02-11,31.0,22.1,26.1,1.7,100,74,87.3,5.6,4.8,0.0,2.3,1.2,163.6,89.5,30.2,0.3,SE
2001-02-18,29.2,22.2,24.8,1.5,99,60,83.9,9.1,7.4,0.3,3.1,1.5,140.3,62.5,35.1,0.4,SE
2001-02-25,35.5,21.7,25.9,2.4,98,58,87.3,7.6,7.5,0.2,2.9,1.7,150.0,86.0,302.4,3.8,L
2001-03-04,32.1,21.5,25.4,2.2,100,60,89.3,9.2,5.3,0.1,1.2,0.9,171.6,103.3,67.3,1.2,SE
2001-03-11,31.2,18.7,24.0,2.8,100,61,86.4,10.8,4.9,0.1,1.2,0.9,150.3,94.5,74.7,0.8,L
2001-03-18,31.2,20.6,25.5,2.6,99,60,86.1,10.0,4.3,0.2,1.4,1.1,156.5,94.3,28.9,0.6,L
2001-03-25,31.7,21.5,25.7,2.1,100,60,88.2,9.7,3.8,0.1,1.3,0.8,158.1,85.0,51.9,0.9,SE
2001-04-01,33.5,19.1,24.9,3.1,100,58,85.4,12.9,5.3,0.2,1.5,1.2,172.4,95.9,53.3,0.9,S
2001-04-08,30.8,21.6,25.0,1.7,98,63,83.7,7.4,6.7,0.5,3.1,1.6,140.9,80.5,44.4,0.5,L
2001-04-15,28.9,19.8,23.6,1.7,99,58,81.1,9.5,5.7,0.2,2.9,1.2,131.4,82.7,27.5,0.3,L
2001-04-22,31.0,17.0,22.0,2.0,100,44,80.9,10.3,5.9,0.4,3.1,1.4,139.1,89.6,38.7,0.4,L
2001-04-29,26.3,17.5,21.7,1.6,99,70,88.6,6.3,6.9,0.4,2.9,1.3,210.6,63.2,24.2,0.2,SO
2001-05-06,29.5,18.2,22.5,2.7,97,58,86.7,8.5,5.2,0.2,1.2,1.0,155.8,93.2,5.3,0.1,L
2001-05-13,32.5,14.1,21.2,3.0,95,59,84.4,10.6,3.3,0.1,1.1,0.8,164.1,91.7,19.9,0.2,L
2001-05-20,26.2,12.7,18.9,3.4,96,48,82.1,14.6,2.5,0.2,0.8,0.6,151.3,102.7,0.0,0.0,L
2001-05-27,31.1,14.1,20.4,3.5,96,53,86.8,10.3,3.5,0.1,0.8,0.7,157.9,103.9,0.1,0.0,L
2001-06-03,26.7,16.2,19.8,2.0,100,59,89.3,7.9,4.5,0.2,1.3,0.8,166.7,88.2,48.4,0.6,L
2001-06-10,27.2,16.7,20.5,1.8,100,62,95.1,7.7,2.7,0.1,0.9,0.6,185.5,99.3,37.3,0.4,L
2001-06-17,21.5,12.5,17.4,2.1,100,58,89.8,11.5,2.8,0.2,0.9,0.6,155.6,97.8,21.9,0.2,L
2001-06-24,25.0,15.0,18.4,1.4,100,60,89.1,6.7,6.2,0.2,2.0,1.2,172.3,98.1,40.1,0.3,SO
2001-07-01,27.1,10.9,18.5,3.6,99,52,82.9,11.6,6.3,0.2,2.7,1.5,202.6,93.5,12.7,0.2,S
2001-07-08,29.0,9.7,16.6,3.6,99,48,83.8,13.7,3.9,0.2,1.1,0.7,162.3,91.0,64.5,0.8,SE
2001-07-15,28.7,10.7,18.1,3.8,99,47,88.2,12.5,3.0,0.1,0.8,0.5,147.0,107.8,5.2,0.1,L
2001-07-22,27.7,12.0,17.6,3.1,99,49,87.2,13.5,4.8,0.1,1.2,1.1,142.7,98.2,6.6,0.1,L
2001-07-29,30.7,13.2,19.3,3.4,99,47,89.5,10.5,3.6,0.1,1.3,1.0,179.0,91.0,14.6,0.2,S
2001-08-05,29.5,12.5,19.3,3.3,99,37,80.7,14.6,4.4,0.2,1.5,1.0,163.0,93.8,6.3,0.2,S
2001-08-12,30.0,14.0,19.0,2.8,98,50,82.9,12.0,4.1,0.1,1.5,1.1,129.6,83.2,0.6,0.0,L
2001-08-19,25.0,14.0,18.4,2.1,97,57,90.8,8.6,3.9,0.1,0.9,0.7,186.9,105.9,29.3,0.4,SE
2001-08-26,24.0,13.5,18.3,2.4,97,64,82.8,10.5,5.0,0.1,1.7,1.2,142.6,86.2,16.3,0.3,L
2001-09-02,34.2,13.0,19.6,3.7,98,44,86.6,11.7,3.7,0.2,1.3,1.0,161.5,93.7,2.8,0.0,SE
2001-09-09,24.2,12.7,18.0,2.6,98,55,83.4,11.8,4.0,0.1,1.4,1.0,159.7,85.1,12.7,0.2,L
