Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2020-01-05,35.7,20.6,24.6,2.8,97.0,47.0,86.0,10.6,4.5,0.1,1.5,1.0,179.0,87.3,29.0,0.7,S
2020-01-12,37.5,20.7,27.1,3.5,97.0,37.0,83.0,14.1,4.5,0.2,1.3,1.0,162.0,98.6,16.4,0.5,L
2020-01-19,35.2,19.2,24.6,3.3,97.0,43.0,81.1,13.4,4.5,0.2,1.7,1.1,133.8,79.2,55.6,1.3,L
2020-01-26,31.3,16.7,24.0,2.9,98.0,51.0,81.2,11.8,4.3,0.2,1.9,1.2,131.4,78.8,27.6,0.7,L
2020-02-02,35.2,16.5,25.8,3.8,97.0,42.0,82.2,14.8,6.7,0.1,1.4,1.1,155.8,100.9,102.0,2.3,L
2020-02-09,35.8,21.8,25.6,2.9,97.0,39.0,86.9,11.9,4.8,0.1,1.6,1.1,150.7,96.3,101.2,3.3,L
2020-02-16,30.1,18.4,23.4,2.8,97.0,61.0,84.7,10.2,4.9,0.1,1.6,1.1,139.8,82.9,91.0,3.1,L
2020-02-23,35.2,17.5,25.4,3.5,97.0,53.0,83.8,11.4,4.4,0.1,1.4,1.0,152.4,93.8,161.6,7.0,L
2020-03-01,30.6,18.9,22.6,2.3,97.0,65.0,87.9,9.1,4.6,0.1,1.5,1.1,160.7,89.9,203.2,3.1,L
2020-03-08,27.4,16.7,22.0,2.9,98.0,61.0,85.9,11.5,5.7,0.1,1.5,1.2,131.4,80.8,121.8,2.7,L
2020-03-15,31.1,17.7,24.0,3.3,97.0,60.0,84.2,10.6,3.9,0.2,1.5,1.1,132.3,93.6,0.0,0.0,L
2020-03-22,34.4,18.5,24.7,3.0,98.0,48.0,84.7,11.7,4.0,0.2,1.4,1.0,138.6,91.9,82.8,2.1,L
2020-03-29,28.0,15.8,22.9,3.3,98.0,56.0,81.0,12.4,4.6,0.2,1.5,1.1,133.2,82.3,7.0,0.3,L
2020-04-05,34.5,15.4,23.7,3.7,98.0,31.0,80.4,15.5,4.3,0.1,1.3,1.0,143.3,93.7,0.0,0.0,L
2020-04-12,30.4,13.4,21.1,3.3,98.0,55.0,81.2,13.2,4.3,0.2,1.3,0.9,143.4,84.9,12.8,0.5,L
2020-04-19,27.0,12.3,19.8,3.9,98.0,45.0,83.6,14.9,3.1,0.2,1.0,0.7,140.0,92.1,26.4,0.7,L
2020-04-26,29.1,14.3,20.6,3.6,98.0,52.0,88.3,11.5,3.5,0.2,1.0,0.9,136.0,89.1,10.4,0.4,L
2020-05-03,31.8,16.4,22.4,3.2,98.0,42.0,82.7,14.5,3.4,0.2,1.1,0.8,148.9,97.8,4.6,0.2,L
2020-05-10,27.6,11.1,18.3,3.8,98.0,48.0,84.5,14.0,5.4,0.1,1.1,0.9,161.3,96.0,22.4,0.7,L
2020-05-17,30.0,11.8,19.2,4.1,99.0,39.0,86.1,15.3,2.8,0.2,0.9,0.7,163.3,107.8,33.6,1.0,L
2020-05-24,27.9,10.6,19.8,4.2,99.0,51.0,83.5,13.0,3.9,0.2,1.3,1.0,165.4,103.2,2.2,0.1,L
2020-05-31,29.4,7.3,15.7,5.6,99.0,34.0,79.0,19.5,4.0,0.1,1.0,0.8,157.6,108.7,0.0,0.0,L
2020-06-07,27.1,12.9,19.1,2.7,98.0,49.0,93.2,9.3,3.2,0.2,1.2,0.7,160.4,88.5,171.8,2.4,SE
2020-06-14,32.8,12.0,21.4,4.1,99.0,42.0,87.5,13.6,4.5,0.1,0.9,0.7,161.3,103.9,8.4,0.3,L
2020-06-21,31.7,13.8,20.3,4.2,99.0,41.0,85.6,15.2,4.1,0.2,1.2,0.9,150.3,100.6,19.4,0.4,L
2020-06-28,30.5,12.5,18.7,4.3,99.0,42.0,88.9,14.3,4.6,0.2,1.2,0.9,157.4,95.9,151.8,2.4,SO
2020-07-05,28.1,9.3,16.7,4.3,99.0,28.0,84.9,16.0,5.7,0.1,1.2,1.0,169.8,107.2,25.8,1.0,L
2020-07-12,31.9,11.0,19.8,4.6,99.0,34.0,83.1,16.9,3.4,0.2,1.1,0.7,175.9,97.8,6.6,0.2,O
2020-07-19,24.5,15.8,18.5,1.9,98.0,65.0,87.5,9.0,3.0,0.2,1.2,0.7,142.3,82.8,9.8,0.4,L
2020-07-26,32.8,12.7,19.3,4.6,99.0,29.0,84.2,16.6,5.3,0.2,1.0,0.8,137.8,104.3,0.4,0.0,L
2020-08-02,32.5,14.2,18.2,3.3,99.0,38.0,90.6,10.3,5.7,0.1,1.6,1.1,166.4,84.9,102.0,1.0,L
2020-08-09,24.7,12.5,17.7,3.4,99.0,59.0,90.7,9.5,3.2,0.1,1.0,0.8,139.3,90.3,0.4,0.0,L
2020-08-16,32.1,13.7,19.8,3.2,99.0,32.0,88.4,12.6,5.0,0.1,1.2,0.7,158.7,103.2,51.6,0.9,N
2020-08-23,21.2,9.4,16.1,3.3,98.0,82.0,93.5,3.9,4.4,0.2,1.4,1.0,175.9,96.2,104.2,1.5,S
2020-08-30,27.7,9.1,17.4,4.1,99.0,55.0,88.3,12.4,4.5,0.1,1.2,1.1,139.8,96.1,3.6,0.1,L
2020-09-06,31.7,17.4,20.5,2.4,98.0,45.0,90.9,9.0,5.1,0.2,1.9,1.1,159.4,76.4,29.8,0.4,L
2020-09-13,34.1,19.0,21.5,2.5,98.0,45.0,87.6,9.3,3.4,0.1,1.3,0.7,155.4,83.8,0.2,0.0,SE
2020-09-20,30.2,15.8,20.0,2.7,99.0,56.0,89.8,9.4,5.2,0.2,1.7,1.2,174.2,77.8,25.8,0.4,S
2020-09-27,27.7,14.6,19.2,3.0,99.0,62.0,90.3,8.6,3.9,0.2,1.5,1.0,166.6,81.9,47.8,0.6,S
2020-10-04,40.9,18.9,23.1,4.2,98.0,26.0,88.6,13.7,4.9,0.2,1.8,1.1,159.5,93.8,70.4,0.9,S
2020-10-11,25.6,17.7,21.5,1.7,98.0,52.0,90.3,10.0,5.5,0.3,1.5,1.0,149.4,72.8,40.4,0.8,L
2020-10-18,27.6,13.5,21.2,2.9,99.0,57.0,80.4,10.6,3.8,0.3,1.7,1.0,143.4,72.9,0.4,0.0,L
2020-10-25,27.8,19.0,23.0,2.0,98.0,57.0,83.4,10.1,4.8,0.2,1.9,1.2,127.8,75.5,2.4,0.1,L
2020-11-01,35.3,17.3,22.0,3.8,98.0,25.0,82.0,15.1,5.3,0.1,1.8,1.2,147.3,82.7,144.8,2.2,L
2020-11-08,26.6,12.2,19.2,3.7,99.0,50.0,80.2,15.0,3.9,0.2,1.5,1.1,136.8,83.2,15.4,0.4,L
