Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2021-01-01,26.2,21.4,23.2,1.3,98.0,80.0,92.4,5.6,3.7,0.3,1.4,1.1,168.8,106.0,17.6,2.0,L
2021-01-02,23.8,22.0,22.9,0.5,95.0,81.0,88.4,4.0,3.1,0.3,1.5,0.8,135.0,74.0,6.8,0.8,L
2021-01-03,27.1,20.1,23.5,2.3,96.0,61.0,79.8,12.0,4.0,0.4,1.8,1.1,141.7,87.1,0.2,0.0,L
2021-01-04,28.3,18.8,23.8,3.0,98.0,61.0,79.3,12.2,3.0,0.2,1.4,1.0,131.3,76.0,0.0,0.0,L
2021-01-05,30.6,19.7,24.5,3.9,98.0,60.0,84.2,12.7,4.4,0.3,1.4,1.2,136.8,96.5,4.2,0.6,L
2021-01-06,34.3,23.5,27.7,4.1,99.0,51.0,80.9,18.7,2.8,0.3,1.2,0.7,171.5,135.3,0.2,0.0,NE
2021-01-07,33.9,23.8,27.9,3.0,92.0,49.0,76.3,12.9,3.3,0.3,1.3,0.8,172.9,93.4,0.8,0.1,L
2021-01-08,31.8,23.8,26.4,2.2,98.0,56.0,88.3,12.1,3.2,0.3,1.2,0.8,193.4,114.3,11.8,1.8,L
2021-01-09,27.3,23.7,25.5,1.1,98.0,84.0,92.8,4.3,2.7,0.2,1.2,0.7,172.3,91.2,28.0,2.2,L
2021-01-10,26.1,24.3,25.4,0.4,97.0,88.0,93.4,3.0,2.8,0.3,1.4,0.7,148.2,82.7,33.2,3.0,L
2021-01-11,29.4,24.5,26.3,1.5,98.0,76.0,87.5,7.5,4.2,0.3,2.6,1.3,92.2,29.8,4.0,0.8,L
2021-01-12,29.9,22.8,26.3,2.3,98.0,70.0,85.7,9.2,2.6,0.1,1.2,0.7,139.2,96.6,0.0,0.0,L
2021-01-13,28.7,24.1,26.2,1.5,98.0,75.0,88.4,8.6,3.8,0.2,1.6,1.2,129.3,72.2,3.0,0.6,L
2021-01-14,28.5,24.7,26.4,1.3,91.0,70.0,81.2,6.8,4.1,1.7,2.9,0.6,106.9,7.0,5.2,1.0,L
2021-01-15,29.1,23.0,25.7,1.8,95.0,71.0,84.9,7.5,3.4,0.5,2.0,1.0,124.5,91.3,4.0,0.6,L
2021-01-16,31.4,21.8,25.2,3.0,99.0,61.0,88.2,12.6,3.8,0.2,0.9,0.9,188.5,128.4,25.2,5.1,L
2021-01-17,32.7,24.3,27.5,3.2,98.0,56.0,80.5,16.3,2.8,0.2,1.2,0.7,102.6,71.1,0.0,0.0,NE
