Datetime,Temp_max,Temp_min,Temp_med,Temp_dp,Umi_max,Umi_min,Umi_med,Umi_dp,Vel_vento_max,Vel_vento_min,Vel_vento_med,Vel_vento_dp,Dir_vento_med,Dir_vento_dp,Precipitacao_tot,Precipitacao_dp,Ori_vento_moda
2021-01-31,36.8,18.8,25.8,3.0,99.0,37.0,85.5,13.1,4.6,0.1,1.5,1.0,154.1,97.2,429.0,2.8,L
2021-02-28,37.1,17.3,24.9,3.4,100.0,39.0,85.1,14.0,6.6,0.1,1.3,1.0,152.9,97.6,306.0,2.7,L
2021-03-31,33.5,18.7,25.1,2.8,100.0,48.0,86.8,11.3,4.9,0.1,1.2,0.9,160.3,96.7,145.6,1.4,L
2021-04-30,33.3,15.8,22.1,2.9,100.0,35.0,85.6,12.6,4.9,0.1,1.3,0.9,157.2,91.0,182.0,1.1,L
2021-05-31,30.4,8.2,19.1,3.6,100.0,34.0,89.9,12.0,5.4,0.1,1.1,0.8,165.7,101.0,206.6,1.1,L
2021-06-30,27.3,9.4,18.6,3.2,100.0,48.0,93.0,9.9,2.8,0.1,0.9,0.6,172.4,101.9,99.8,1.3,L
2021-07-31,21.9,4.5,15.6,4.5,100.0,30.0,67.7,21.2,2.9,0.3,1.4,0.7,184.0,94.4,0.0,0.0,SE
2021-08-31,34.6,18.7,25.1,3.9,100.0,27.0,68.6,18.7,5.1,0.5,1.7,1.1,214.7,105.3,0.0,0.0,L
2021-09-30,26.1,23.0,24.3,0.9,72.0,61.0,68.6,4.2,3.6,1.6,2.5,0.9,149.3,82.3,0.0,0.0,L
2021-10-31,,,,,,,,,,,,,,,0.0,,
2021-11-30,,,,,,,,,,,,,,,0.0,,
2021-12-31,26.8,26.8,26.8,,59.0,59.0,59.0,,,,,,,,0.0,,
