"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2022";"0000";"11,8";"12,6";"11,8";"91,0";"91,0";"90,0";"10,4";"11,0";"10,3";"1017,6";"1017,7";"1017,6";"0,3";"161,0";"0,9";"";"0,0"
"01/07/2022";"0100";"11,0";"11,8";"11,0";"91,0";"91,0";"91,0";"9,6";"10,4";"9,6";"1018,1";"1018,1";"1017,6";"0,4";"62,0";"1,2";"";"0,0"
"01/07/2022";"0200";"10,5";"11,0";"10,5";"92,0";"92,0";"91,0";"9,2";"9,7";"9,1";"1018,4";"1018,4";"1018,1";"0,3";"34,0";"0,7";"";"0,0"
"01/07/2022";"0300";"10,4";"10,5";"10,1";"92,0";"92,0";"91,0";"9,1";"9,2";"8,8";"1018,2";"1018,6";"1018,2";"0,4";"79,0";"1,0";"";"0,0"
"01/07/2022";"0400";"9,9";"10,4";"9,8";"92,0";"92,0";"91,0";"8,7";"9,2";"8,5";"1018,6";"1018,6";"1018,2";"0,3";"62,0";"0,8";"";"0,0"
"01/07/2022";"0500";"9,3";"10,0";"9,2";"92,0";"92,0";"92,0";"8,1";"8,8";"8,0";"1018,8";"1018,8";"1018,6";"0,3";"28,0";"1,1";"";"0,0"
"01/07/2022";"0600";"9,4";"9,5";"9,2";"93,0";"93,0";"92,0";"8,3";"8,3";"8,0";"1018,7";"1018,8";"1018,7";"0,5";"68,0";"0,8";"";"0,0"
"01/07/2022";"0700";"10,9";"11,0";"9,3";"93,0";"93,0";"92,0";"9,7";"9,8";"8,2";"1018,8";"1018,8";"1018,6";"0,4";"57,0";"1,0";"";"0,0"
"01/07/2022";"0800";"12,1";"12,1";"10,9";"93,0";"93,0";"93,0";"10,9";"11,0";"9,8";"1018,7";"1018,8";"1018,7";"0,7";"77,0";"1,1";"0,70";"0,0"
"01/07/2022";"0900";"13,1";"13,1";"12,1";"93,0";"93,0";"93,0";"11,9";"11,9";"11,0";"1019,1";"1019,1";"1018,7";"0,4";"317,0";"1,2";"0,30";"0,0"
"01/07/2022";"1000";"13,3";"13,4";"13,1";"93,0";"93,0";"92,0";"12,1";"12,2";"11,9";"1019,8";"1019,8";"1019,1";"0,2";"88,0";"1,0";"2,10";"0,0"
"01/07/2022";"1100";"14,4";"14,5";"13,2";"93,0";"93,0";"92,0";"13,2";"13,3";"12,0";"1020,7";"1020,7";"1019,8";"0,4";"98,0";"1,7";"104,00";"0,0"
"01/07/2022";"1200";"15,3";"15,3";"14,4";"91,0";"93,0";"91,0";"13,9";"14,0";"13,2";"1021,4";"1021,4";"1020,7";"0,5";"350,0";"1,8";"362,50";"0,0"
"01/07/2022";"1300";"16,3";"16,3";"15,3";"88,0";"91,0";"88,0";"14,4";"14,4";"13,9";"1021,7";"1021,7";"1021,4";"0,4";"337,0";"1,2";"446,00";"0,0"
"01/07/2022";"1400";"18,2";"18,3";"16,2";"81,0";"88,0";"81,0";"14,9";"15,5";"14,1";"1021,3";"1021,7";"1021,3";"0,7";"25,0";"1,6";"862,90";"0,0"
"01/07/2022";"1500";"19,5";"19,7";"18,2";"74,0";"82,0";"72,0";"14,7";"15,4";"14,3";"1020,5";"1021,3";"1020,5";"0,8";"356,0";"2,4";"1464,60";"0,0"
"01/07/2022";"1600";"20,7";"20,8";"19,6";"69,0";"75,0";"67,0";"14,7";"15,2";"14,3";"1019,6";"1020,5";"1019,6";"0,7";"310,0";"2,4";"1417,70";"0,0"
"01/07/2022";"1700";"20,7";"20,7";"20,3";"69,0";"70,0";"67,0";"14,8";"15,0";"14,0";"1018,4";"1019,6";"1018,4";"0,5";"74,0";"2,5";"1048,70";"0,0"
"01/07/2022";"1800";"20,5";"21,8";"20,4";"72,0";"73,0";"66,0";"15,2";"15,8";"14,4";"1017,7";"1018,4";"1017,7";"1,9";"114,0";"4,4";"1523,50";"0,0"
"01/07/2022";"1900";"19,4";"20,6";"19,3";"77,0";"77,0";"72,0";"15,3";"15,7";"15,0";"1017,3";"1017,7";"1017,3";"1,7";"100,0";"5,3";"504,20";"0,0"
"01/07/2022";"2000";"18,6";"19,7";"18,6";"81,0";"81,0";"76,0";"15,3";"15,5";"15,1";"1017,5";"1017,5";"1017,3";"2,4";"114,0";"5,0";"243,70";"0,0"
"01/07/2022";"2100";"16,9";"18,6";"16,9";"87,0";"87,0";"81,0";"14,7";"15,3";"14,7";"1017,7";"1017,7";"1017,5";"0,8";"57,0";"5,0";"30,80";"0,0"
"01/07/2022";"2200";"15,6";"16,9";"15,5";"90,0";"90,0";"87,0";"13,9";"14,7";"13,8";"1018,0";"1018,0";"1017,7";"0,3";"3,0";"1,7";"";"0,0"
"01/07/2022";"2300";"14,3";"15,6";"14,3";"91,0";"91,0";"90,0";"12,8";"13,9";"12,8";"1018,3";"1018,3";"1018,0";"0,3";"56,0";"1,2";"";"0,0"
"02/07/2022";"0000";"13,8";"14,5";"13,8";"91,0";"92,0";"91,0";"12,3";"13,1";"12,3";"1018,6";"1018,7";"1018,3";"0,2";"148,0";"1,1";"";"0,0"
"02/07/2022";"0100";"13,5";"13,8";"13,4";"92,0";"92,0";"91,0";"12,1";"12,4";"12,0";"1018,7";"1018,7";"1018,6";"0,5";"264,0";"1,0";"";"0,0"
"02/07/2022";"0200";"12,9";"13,5";"12,8";"92,0";"92,0";"91,0";"11,7";"12,2";"11,5";"1018,5";"1018,7";"1018,4";"0,5";"56,0";"1,0";"";"0,0"
"02/07/2022";"0300";"13,2";"13,2";"12,5";"93,0";"93,0";"92,0";"12,0";"12,0";"11,3";"1018,4";"1018,5";"1018,4";"0,5";"258,0";"1,1";"";"0,0"
"02/07/2022";"0400";"13,7";"13,7";"13,1";"93,0";"93,0";"92,0";"12,6";"12,6";"11,9";"1018,1";"1018,5";"1018,0";"0,3";"111,0";"1,5";"";"0,0"
"02/07/2022";"0500";"14,0";"14,1";"13,7";"93,0";"93,0";"93,0";"12,8";"13,0";"12,5";"1018,2";"1018,3";"1018,1";"0,5";"74,0";"0,9";"";"0,0"
"02/07/2022";"0600";"13,1";"14,0";"13,0";"93,0";"93,0";"93,0";"12,0";"12,9";"11,9";"1018,0";"1018,3";"1018,0";"0,4";"32,0";"0,9";"";"0,0"
"02/07/2022";"0700";"12,6";"13,2";"12,5";"93,0";"93,0";"93,0";"11,4";"12,0";"11,3";"1017,4";"1018,1";"1017,4";"0,3";"74,0";"0,9";"";"0,0"
"02/07/2022";"0800";"12,9";"12,9";"12,3";"93,0";"93,0";"93,0";"11,8";"11,8";"11,2";"1017,2";"1017,4";"1017,2";"0,5";"88,0";"1,1";"";"0,0"
"02/07/2022";"0900";"12,1";"12,9";"12,1";"93,0";"93,0";"93,0";"11,0";"11,8";"10,9";"1017,2";"1017,3";"1017,0";"0,8";"114,0";"1,5";"";"0,0"
"02/07/2022";"1000";"11,7";"12,2";"11,7";"93,0";"93,0";"93,0";"10,6";"11,1";"10,6";"1017,8";"1017,8";"1017,1";"0,4";"133,0";"1,5";"";"0,0"
"02/07/2022";"1100";"13,0";"13,0";"11,7";"93,0";"93,0";"93,0";"11,9";"11,9";"10,6";"1018,3";"1018,3";"1017,8";"0,4";"114,0";"1,0";"141,90";"0,0"
"02/07/2022";"1200";"16,6";"16,6";"13,0";"93,0";"93,0";"93,0";"15,4";"15,5";"12,0";"1018,9";"1018,9";"1018,3";"0,3";"160,0";"1,0";"698,30";"0,0"
"02/07/2022";"1300";"19,6";"19,6";"16,5";"83,0";"93,0";"83,0";"16,6";"16,7";"15,4";"1019,2";"1019,2";"1018,9";"0,6";"298,0";"1,6";"1423,10";"0,0"
"02/07/2022";"1400";"20,7";"20,7";"19,6";"72,0";"83,0";"70,0";"15,4";"16,4";"14,6";"1019,2";"1019,2";"1019,1";"1,5";"248,0";"3,7";"1910,70";"0,0"
"02/07/2022";"1500";"21,6";"21,9";"20,6";"69,0";"74,0";"67,0";"15,6";"16,1";"15,2";"1018,9";"1019,2";"1018,9";"1,5";"220,0";"3,7";"2159,70";"0,0"
"02/07/2022";"1600";"22,7";"23,0";"21,6";"67,0";"69,0";"64,0";"16,3";"16,7";"15,1";"1017,8";"1018,9";"1017,8";"1,2";"108,0";"3,2";"2200,40";"0,0"
"02/07/2022";"1700";"23,4";"24,1";"22,8";"65,0";"68,0";"62,0";"16,6";"17,1";"15,8";"1017,3";"1017,9";"1017,3";"1,5";"99,0";"3,0";"1931,90";"0,2"
"02/07/2022";"1800";"23,2";"23,7";"22,8";"66,0";"69,0";"64,0";"16,6";"17,1";"16,1";"1016,8";"1017,3";"1016,7";"1,0";"62,0";"3,5";"1617,70";"0,0"
"02/07/2022";"1900";"22,7";"23,5";"22,7";"70,0";"70,0";"66,0";"16,9";"17,2";"16,4";"1016,6";"1016,8";"1016,5";"1,3";"69,0";"2,7";"1006,50";"0,0"
"02/07/2022";"2000";"20,4";"22,7";"20,2";"81,0";"81,0";"70,0";"16,9";"17,3";"16,7";"1016,7";"1016,8";"1016,6";"1,2";"29,0";"2,7";"239,40";"0,0"
"02/07/2022";"2100";"18,4";"20,4";"18,3";"88,0";"88,0";"80,0";"16,4";"16,9";"16,3";"1017,3";"1017,3";"1016,7";"0,5";"354,0";"2,0";"29,20";"0,0"
"02/07/2022";"2200";"17,0";"18,4";"17,0";"90,0";"90,0";"88,0";"15,3";"16,4";"15,2";"1017,5";"1017,5";"1017,3";"0,2";"11,0";"1,3";"";"0,0"
"02/07/2022";"2300";"15,8";"17,0";"15,8";"90,0";"91,0";"90,0";"14,2";"15,3";"14,2";"1018,1";"1018,1";"1017,5";"0,3";"63,0";"0,6";"";"0,0"
"03/07/2022";"0000";"15,2";"15,9";"15,1";"91,0";"91,0";"90,0";"13,8";"14,4";"13,7";"1018,4";"1018,4";"1018,1";"0,3";"262,0";"0,9";"";"0,0"
"03/07/2022";"0100";"14,6";"15,2";"14,5";"92,0";"92,0";"91,0";"13,2";"13,8";"13,1";"1018,6";"1018,7";"1018,4";"0,2";"79,0";"1,7";"";"0,0"
"03/07/2022";"0200";"14,1";"14,6";"14,0";"92,0";"92,0";"91,0";"12,8";"13,2";"12,7";"1018,7";"1018,7";"1018,6";"0,4";"157,0";"0,8";"";"0,0"
"03/07/2022";"0300";"13,9";"14,1";"13,7";"92,0";"92,0";"92,0";"12,7";"12,9";"12,4";"1018,8";"1018,8";"1018,7";"0,5";"88,0";"1,2";"";"0,0"
"03/07/2022";"0400";"13,9";"14,1";"13,8";"92,0";"92,0";"92,0";"12,7";"12,8";"12,5";"1018,7";"1018,9";"1018,7";"0,5";"63,0";"1,3";"";"0,0"
"03/07/2022";"0500";"14,3";"14,8";"13,9";"92,0";"93,0";"92,0";"13,0";"13,5";"12,6";"1018,7";"1018,8";"1018,7";"0,3";"180,0";"1,6";"";"0,0"
"03/07/2022";"0600";"14,0";"14,3";"14,0";"92,0";"92,0";"92,0";"12,7";"13,0";"12,7";"1018,6";"1018,7";"1018,6";"0,3";"330,0";"0,9";"";"0,0"
"03/07/2022";"0700";"14,0";"15,4";"13,6";"92,0";"93,0";"92,0";"12,8";"14,1";"12,3";"1018,5";"1018,6";"1018,4";"0,7";"280,0";"1,9";"";"0,0"
"03/07/2022";"0800";"14,5";"14,8";"13,6";"93,0";"93,0";"92,0";"13,3";"13,6";"12,3";"1018,7";"1018,8";"1018,5";"0,8";"158,0";"1,9";"";"0,0"
"03/07/2022";"0900";"13,7";"14,5";"13,4";"92,0";"93,0";"92,0";"12,5";"13,3";"12,2";"1019,3";"1019,3";"1018,7";"0,6";"5,0";"1,6";"";"0,0"
"03/07/2022";"1000";"13,8";"14,8";"13,6";"93,0";"93,0";"92,0";"12,6";"13,6";"12,4";"1019,9";"1019,9";"1019,3";"0,3";"211,0";"1,6";"";"0,0"
"03/07/2022";"1100";"15,1";"15,1";"13,6";"93,0";"93,0";"92,0";"13,9";"13,9";"12,4";"1020,4";"1020,4";"1019,9";"0,4";"324,0";"1,3";"118,00";"0,0"
"03/07/2022";"1200";"19,6";"19,6";"15,1";"87,0";"93,0";"87,0";"17,5";"17,5";"14,0";"1021,4";"1021,4";"1020,4";"0,5";"262,0";"1,8";"684,40";"0,0"
"03/07/2022";"1300";"22,3";"22,4";"19,6";"67,0";"87,0";"67,0";"16,0";"17,5";"15,9";"1021,8";"1021,8";"1021,4";"0,6";"313,0";"1,2";"1450,30";"0,0"
"03/07/2022";"1400";"25,3";"25,8";"22,1";"58,0";"71,0";"57,0";"16,4";"17,8";"16,1";"1021,6";"1021,9";"1021,6";"0,6";"303,0";"1,7";"1917,70";"0,0"
"03/07/2022";"1500";"27,6";"27,6";"25,2";"49,0";"60,0";"49,0";"16,0";"17,2";"15,8";"1021,0";"1021,6";"1021,0";"1,3";"285,0";"3,0";"2193,60";"0,0"
"03/07/2022";"1600";"29,3";"29,4";"27,6";"45,0";"49,0";"43,0";"16,1";"16,9";"15,1";"1020,0";"1021,0";"1020,0";"1,1";"321,0";"3,5";"2247,70";"0,0"
"03/07/2022";"1700";"29,8";"30,2";"29,2";"46,0";"47,0";"40,0";"16,8";"17,0";"15,0";"1019,2";"1020,0";"1019,2";"1,1";"349,0";"3,3";"1982,00";"0,0"
"03/07/2022";"1800";"30,2";"30,8";"29,8";"46,0";"50,0";"40,0";"17,3";"18,1";"15,4";"1018,5";"1019,2";"1018,5";"0,9";"337,0";"2,9";"1677,40";"0,0"
"03/07/2022";"1900";"28,0";"30,4";"28,0";"58,0";"59,0";"42,0";"19,1";"19,5";"15,9";"1018,4";"1018,5";"1018,3";"0,8";"41,0";"3,4";"1065,10";"0,0"
"03/07/2022";"2000";"23,5";"28,0";"23,5";"77,0";"77,0";"55,0";"19,3";"19,8";"18,0";"1018,4";"1018,4";"1018,3";"0,7";"59,0";"2,3";"228,80";"0,0"
