"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2023";"0000";"23,6";"23,8";"23,4";"82,0";"84,0";"82,0";"20,5";"20,7";"20,4";"1014,1";"1014,1";"1013,4";"1,9";"101,0";"6,1";"";"0,0"
"01/01/2023";"0100";"23,1";"23,7";"23,1";"84,0";"84,0";"82,0";"20,2";"20,5";"20,2";"1014,8";"1014,8";"1014,1";"0,4";"356,0";"4,5";"";"0,0"
"01/01/2023";"0200";"22,2";"23,1";"22,1";"88,0";"88,0";"84,0";"20,1";"20,4";"20,0";"1014,6";"1014,9";"1014,6";"0,4";"41,0";"1,4";"";"0,0"
"01/01/2023";"0300";"21,5";"22,2";"21,5";"90,0";"90,0";"88,0";"19,8";"20,3";"19,7";"1014,0";"1014,6";"1014,0";"0,1";"149,0";"1,0";"";"0,0"
"01/01/2023";"0400";"20,5";"21,5";"20,5";"91,0";"91,0";"90,0";"19,0";"19,8";"19,0";"1013,3";"1014,0";"1013,3";"0,3";"78,0";"1,0";"";"0,0"
"01/01/2023";"0500";"20,4";"20,7";"20,3";"92,0";"92,0";"91,0";"19,1";"19,3";"18,9";"1013,2";"1013,3";"1013,2";"0,2";"291,0";"0,5";"";"0,0"
"01/01/2023";"0600";"21,1";"21,1";"20,4";"92,0";"93,0";"92,0";"19,8";"19,8";"19,1";"1013,3";"1013,4";"1013,1";"0,6";"79,0";"1,4";"";"0,0"
"01/01/2023";"0700";"20,7";"21,2";"20,6";"92,0";"93,0";"92,0";"19,4";"19,9";"19,3";"1012,9";"1013,3";"1012,9";"0,4";"51,0";"1,2";"";"0,0"
"01/01/2023";"0800";"20,0";"20,7";"19,9";"93,0";"93,0";"92,0";"18,9";"19,4";"18,7";"1013,3";"1013,3";"1012,9";"0,6";"62,0";"1,5";"";"0,0"
"01/01/2023";"0900";"20,1";"20,1";"19,6";"93,0";"93,0";"93,0";"18,9";"19,0";"18,4";"1013,9";"1013,9";"1013,3";"0,2";"112,0";"1,0";"38,00";"0,0"
"01/01/2023";"1000";"21,2";"21,2";"20,1";"93,0";"93,0";"93,0";"20,0";"20,0";"18,9";"1014,9";"1014,9";"1013,9";"0,9";"14,0";"2,3";"306,50";"0,0"
"01/01/2023";"1100";"23,0";"23,0";"21,2";"92,0";"93,0";"92,0";"21,5";"21,5";"20,1";"1015,3";"1015,3";"1014,9";"0,5";"317,0";"2,8";"482,50";"0,0"
"01/01/2023";"1200";"25,1";"25,1";"23,0";"79,0";"92,0";"79,0";"21,2";"22,3";"20,9";"1015,5";"1015,5";"1015,3";"0,5";"83,0";"2,0";"1239,30";"0,0"
"01/01/2023";"1300";"26,5";"26,7";"24,9";"71,0";"79,0";"68,0";"20,7";"21,7";"19,7";"1015,2";"1015,5";"1015,2";"1,4";"248,0";"3,3";"2106,00";"0,0"
"01/01/2023";"1400";"26,3";"26,7";"25,8";"72,0";"75,0";"69,0";"20,9";"21,5";"20,3";"1015,1";"1015,3";"1015,1";"1,4";"145,0";"2,5";"843,10";"0,0"
"01/01/2023";"1500";"27,2";"27,3";"26,3";"69,0";"73,0";"68,0";"21,0";"21,7";"20,4";"1014,7";"1015,1";"1014,7";"2,0";"116,0";"4,0";"1668,00";"0,0"
"01/01/2023";"1600";"27,9";"28,3";"27,2";"68,0";"70,0";"65,0";"21,5";"22,0";"20,5";"1013,8";"1014,8";"1013,8";"2,1";"103,0";"4,5";"2466,90";"0,0"
"01/01/2023";"1700";"28,0";"28,7";"27,5";"65,0";"70,0";"64,0";"20,9";"22,2";"20,8";"1012,7";"1013,8";"1012,7";"2,7";"121,0";"5,9";"3345,60";"0,0"
"01/01/2023";"1800";"28,3";"29,2";"27,9";"67,0";"69,0";"62,0";"21,6";"22,4";"20,6";"1012,3";"1012,8";"1012,3";"3,0";"104,0";"6,5";"3274,20";"0,0"
"01/01/2023";"1900";"28,3";"29,0";"27,9";"65,0";"70,0";"64,0";"21,1";"22,5";"21,0";"1011,7";"1012,3";"1011,7";"2,8";"106,0";"6,7";"2514,40";"0,0"
"01/01/2023";"2000";"28,0";"28,3";"27,8";"68,0";"69,0";"64,0";"21,5";"21,7";"20,7";"1011,0";"1011,7";"1011,0";"2,4";"113,0";"6,9";"1811,30";"0,0"
"01/01/2023";"2100";"26,9";"28,0";"26,9";"70,0";"70,0";"66,0";"21,1";"21,4";"20,6";"1012,0";"1012,0";"1011,0";"1,7";"73,0";"6,9";"976,30";"0,0"
"01/01/2023";"2200";"25,0";"27,0";"25,0";"79,0";"79,0";"70,0";"21,1";"21,1";"20,7";"1012,9";"1012,9";"1012,0";"2,0";"115,0";"5,0";"145,40";"0,0"
"01/01/2023";"2300";"24,7";"25,0";"24,5";"82,0";"83,0";"79,0";"21,4";"21,5";"21,1";"1013,3";"1013,3";"1012,8";"2,1";"103,0";"5,2";"";"0,0"
"02/01/2023";"0000";"24,6";"24,8";"24,6";"83,0";"83,0";"82,0";"21,5";"21,5";"21,3";"1013,7";"1013,7";"1013,2";"0,8";"42,0";"4,0";"";"0,0"
"02/01/2023";"0100";"24,4";"24,8";"24,1";"85,0";"86,0";"83,0";"21,7";"21,8";"21,5";"1013,5";"1013,7";"1013,4";"0,9";"33,0";"3,9";"";"0,0"
"02/01/2023";"0200";"24,0";"24,6";"23,7";"85,0";"87,0";"84,0";"21,4";"21,8";"21,3";"1012,9";"1013,5";"1012,8";"0,6";"59,0";"3,6";"";"0,0"
"02/01/2023";"0300";"22,9";"24,0";"22,9";"88,0";"88,0";"85,0";"20,9";"21,6";"20,8";"1012,4";"1012,9";"1012,1";"0,4";"306,0";"3,6";"";"0,0"
"02/01/2023";"0400";"22,2";"23,0";"22,2";"90,0";"90,0";"88,0";"20,5";"20,9";"20,5";"1012,5";"1012,8";"1012,4";"0,3";"349,0";"1,5";"";"0,0"
"02/01/2023";"0500";"21,3";"22,2";"21,2";"92,0";"92,0";"90,0";"19,9";"20,5";"19,8";"1011,9";"1012,5";"1011,9";"0,6";"237,0";"1,2";"";"0,0"
"02/01/2023";"0600";"20,9";"21,4";"20,9";"92,0";"92,0";"91,0";"19,5";"20,1";"19,5";"1011,6";"1011,9";"1011,5";"0,3";"85,0";"1,4";"";"0,0"
"02/01/2023";"0700";"20,6";"21,0";"20,4";"93,0";"93,0";"92,0";"19,4";"19,8";"19,1";"1011,2";"1011,6";"1011,2";"0,4";"43,0";"1,3";"";"0,0"
"02/01/2023";"0800";"20,2";"20,7";"20,1";"93,0";"93,0";"92,0";"19,0";"19,5";"18,9";"1011,7";"1011,8";"1011,1";"0,5";"62,0";"1,1";"";"0,0"
"02/01/2023";"0900";"20,9";"20,9";"20,2";"93,0";"93,0";"93,0";"19,7";"19,7";"19,0";"1011,9";"1011,9";"1011,7";"0,6";"244,0";"1,6";"60,60";"0,0"
"02/01/2023";"1000";"22,7";"22,7";"20,9";"93,0";"93,0";"93,0";"21,5";"21,5";"19,8";"1012,2";"1012,3";"1011,9";"0,8";"57,0";"1,9";"455,70";"0,0"
"02/01/2023";"1100";"24,5";"24,5";"22,7";"88,0";"93,0";"87,0";"22,3";"22,6";"21,5";"1012,5";"1012,6";"1012,2";"0,9";"314,0";"2,0";"1238,00";"0,0"
"02/01/2023";"1200";"25,8";"25,9";"24,1";"78,0";"88,0";"77,0";"21,7";"22,2";"21,1";"1012,5";"1012,6";"1012,4";"1,2";"284,0";"2,5";"1163,30";"0,0"
"02/01/2023";"1300";"26,7";"27,7";"25,5";"71,0";"79,0";"69,0";"21,0";"22,0";"20,6";"1012,0";"1012,5";"1012,0";"1,4";"299,0";"3,5";"1810,50";"0,0"
"02/01/2023";"1400";"28,9";"29,2";"26,7";"64,0";"73,0";"60,0";"21,3";"21,8";"20,0";"1010,8";"1012,0";"1010,8";"1,2";"60,0";"3,5";"3264,80";"0,0"
"02/01/2023";"1500";"28,6";"30,3";"28,6";"67,0";"68,0";"58,0";"21,9";"22,7";"20,4";"1009,9";"1010,8";"1009,9";"3,3";"97,0";"5,7";"3295,40";"0,0"
"02/01/2023";"1600";"28,9";"29,3";"28,4";"68,0";"71,0";"66,0";"22,4";"23,1";"21,7";"1009,0";"1009,9";"1009,0";"3,7";"112,0";"9,0";"3746,60";"0,0"
"02/01/2023";"1700";"28,7";"29,5";"28,5";"67,0";"71,0";"65,0";"22,0";"23,1";"21,7";"1007,7";"1009,0";"1007,7";"4,0";"119,0";"8,8";"3449,50";"0,0"
"02/01/2023";"1800";"28,4";"29,2";"28,2";"64,0";"70,0";"64,0";"21,0";"22,8";"21,0";"1006,7";"1007,7";"1006,7";"4,2";"108,0";"9,4";"2851,90";"0,0"
"02/01/2023";"1900";"28,7";"29,0";"28,2";"67,0";"68,0";"63,0";"22,0";"22,0";"20,8";"1005,6";"1006,7";"1005,6";"3,3";"101,0";"10,6";"2340,40";"0,0"
"02/01/2023";"2000";"27,7";"28,8";"27,7";"66,0";"69,0";"65,0";"20,8";"22,2";"20,8";"1005,4";"1005,7";"1005,4";"3,7";"101,0";"10,7";"1712,90";"0,0"
"02/01/2023";"2100";"26,4";"27,7";"26,3";"72,0";"72,0";"66,0";"20,9";"21,2";"20,5";"1006,2";"1006,2";"1005,2";"1,2";"123,0";"8,7";"826,40";"0,0"
"02/01/2023";"2200";"25,7";"26,5";"25,7";"75,0";"75,0";"71,0";"20,8";"21,3";"20,6";"1006,9";"1006,9";"1005,8";"0,8";"290,0";"6,3";"155,50";"0,0"
"02/01/2023";"2300";"25,1";"25,7";"24,9";"79,0";"80,0";"75,0";"21,2";"21,2";"20,8";"1007,9";"1008,0";"1006,9";"1,4";"6,0";"2,8";"";"0,0"
"03/01/2023";"0000";"25,0";"25,1";"24,2";"77,0";"83,0";"77,0";"20,7";"21,3";"20,7";"1007,8";"1007,9";"1007,7";"1,5";"31,0";"2,8";"";"0,0"
"03/01/2023";"0100";"23,5";"25,1";"23,5";"85,0";"85,0";"76,0";"20,8";"20,8";"20,4";"1008,3";"1008,4";"1007,7";"0,9";"290,0";"5,5";"";"0,0"
"03/01/2023";"0200";"22,9";"23,5";"22,8";"89,0";"89,0";"85,0";"20,9";"21,0";"20,6";"1008,5";"1008,5";"1008,3";"0,5";"20,0";"2,7";"";"0,0"
"03/01/2023";"0300";"22,5";"22,9";"22,4";"90,0";"90,0";"89,0";"20,7";"21,0";"20,6";"1007,7";"1008,5";"1007,7";"0,3";"230,0";"1,3";"";"0,0"
"03/01/2023";"0400";"22,0";"22,6";"22,0";"89,0";"90,0";"88,0";"20,1";"20,7";"20,1";"1006,6";"1007,7";"1006,5";"0,9";"246,0";"1,9";"";"0,0"
"03/01/2023";"0500";"21,4";"22,0";"21,3";"91,0";"91,0";"89,0";"19,9";"20,2";"19,7";"1006,1";"1006,6";"1006,1";"0,5";"92,0";"1,8";"";"0,0"
"03/01/2023";"0600";"21,2";"21,6";"21,2";"92,0";"92,0";"91,0";"19,8";"20,1";"19,7";"1005,3";"1006,1";"1005,2";"0,6";"42,0";"1,6";"";"0,0"
"03/01/2023";"0700";"21,2";"21,5";"21,0";"92,0";"92,0";"91,0";"19,9";"20,1";"19,6";"1005,2";"1005,4";"1005,2";"0,4";"313,0";"1,6";"";"0,0"
"03/01/2023";"0800";"21,7";"22,0";"21,1";"91,0";"93,0";"91,0";"20,2";"20,6";"19,7";"1006,0";"1006,0";"1005,0";"0,9";"63,0";"2,9";"";"0,0"
"03/01/2023";"0900";"22,1";"22,1";"21,7";"90,0";"91,0";"90,0";"20,5";"20,5";"20,2";"1006,5";"1006,5";"1006,0";"0,7";"60,0";"3,7";"38,00";"0,0"
"03/01/2023";"1000";"23,1";"23,1";"22,1";"86,0";"90,0";"86,0";"20,7";"20,8";"20,4";"1006,9";"1006,9";"1006,5";"0,5";"274,0";"2,5";"347,60";"0,0"
"03/01/2023";"1100";"25,7";"25,8";"23,1";"76,0";"86,0";"76,0";"21,3";"21,6";"20,7";"1007,0";"1007,0";"1006,8";"0,9";"289,0";"3,5";"844,20";"0,0"
"03/01/2023";"1200";"28,8";"28,8";"25,7";"66,0";"77,0";"65,0";"21,7";"22,3";"21,2";"1007,5";"1007,5";"1007,0";"2,5";"279,0";"5,8";"2160,40";"0,0"
"03/01/2023";"1300";"27,7";"28,9";"27,7";"68,0";"68,0";"63,0";"21,3";"21,7";"20,9";"1007,6";"1007,6";"1007,4";"2,6";"283,0";"8,3";"1532,40";"0,0"
"03/01/2023";"1400";"28,9";"28,9";"27,5";"64,0";"71,0";"64,0";"21,4";"21,9";"21,2";"1007,7";"1007,8";"1007,6";"2,7";"286,0";"7,2";"1312,40";"0,0"
"03/01/2023";"1500";"30,1";"30,1";"28,7";"60,0";"66,0";"59,0";"21,5";"22,2";"20,8";"1007,3";"1007,7";"1007,3";"2,2";"301,0";"6,5";"1842,00";"0,0"
"03/01/2023";"1600";"32,0";"32,7";"30,1";"51,0";"60,0";"49,0";"20,6";"22,6";"20,1";"1006,0";"1007,3";"1006,0";"2,4";"294,0";"6,3";"3100,40";"0,0"
"03/01/2023";"1700";"33,0";"33,1";"31,6";"46,0";"51,0";"44,0";"20,0";"20,6";"18,8";"1005,0";"1006,0";"1005,0";"2,8";"284,0";"9,3";"2403,30";"0,0"
"03/01/2023";"1800";"32,1";"34,0";"32,1";"47,0";"48,0";"43,0";"19,5";"20,8";"19,1";"1004,1";"1005,0";"1004,0";"2,6";"291,0";"8,4";"2443,10";"0,0"
"03/01/2023";"1900";"28,4";"32,1";"25,1";"71,0";"82,0";"47,0";"22,7";"23,4";"19,5";"1004,1";"1004,8";"1004,0";"0,6";"114,0";"13,2";"1106,70";"1,2"
"03/01/2023";"2000";"28,5";"29,0";"28,3";"76,0";"77,0";"68,0";"23,9";"24,5";"22,4";"1003,9";"1004,1";"1003,9";"0,6";"98,0";"2,0";"698,00";"0,0"
"03/01/2023";"2100";"27,2";"28,5";"27,0";"82,0";"85,0";"73,0";"23,8";"24,5";"22,4";"1004,1";"1004,2";"1003,7";"0,6";"132,0";"4,9";"458,50";"0,6"
"03/01/2023";"2200";"25,7";"27,2";"25,7";"86,0";"86,0";"80,0";"23,2";"23,9";"22,9";"1004,7";"1005,2";"1004,1";"1,6";"66,0";"3,3";"106,90";"0,0"
"03/01/2023";"2300";"25,6";"25,7";"25,1";"84,0";"89,0";"84,0";"22,8";"23,4";"22,8";"1005,8";"1005,8";"1004,7";"1,4";"9,0";"3,3";"";"0,0"
"04/01/2023";"0000";"24,4";"25,7";"24,4";"89,0";"89,0";"84,0";"22,6";"22,8";"22,4";"1006,1";"1006,2";"1005,8";"0,7";"77,0";"3,0";"";"0,0"
"04/01/2023";"0100";"24,4";"24,5";"24,2";"90,0";"90,0";"89,0";"22,7";"22,8";"22,4";"1006,5";"1006,7";"1006,1";"0,7";"99,0";"3,5";"";"0,2"
"04/01/2023";"0200";"24,5";"24,5";"24,2";"89,0";"91,0";"89,0";"22,6";"22,8";"22,5";"1005,8";"1006,6";"1005,7";"0,5";"200,0";"2,0";"";"0,0"
"04/01/2023";"0300";"23,6";"24,5";"23,6";"90,0";"90,0";"89,0";"21,8";"22,5";"21,8";"1006,5";"1006,5";"1005,8";"2,3";"282,0";"6,8";"";"7,6"
"04/01/2023";"0400";"22,8";"23,6";"22,8";"92,0";"92,0";"90,0";"21,4";"21,7";"21,3";"1004,4";"1006,5";"1004,4";"5,0";"295,0";"11,5";"0,60";"21,0"
"04/01/2023";"0500";"22,5";"22,8";"22,4";"93,0";"93,0";"92,0";"21,3";"21,4";"21,2";"1005,7";"1005,9";"1004,4";"4,7";"242,0";"15,4";"";"29,6"
"04/01/2023";"0600";"21,9";"22,5";"21,9";"92,0";"93,0";"92,0";"20,5";"21,3";"20,5";"1005,6";"1005,9";"1005,5";"3,6";"227,0";"9,6";"0,80";"4,2"
"04/01/2023";"0700";"22,0";"22,1";"21,7";"90,0";"92,0";"90,0";"20,4";"20,7";"20,3";"1006,1";"1006,3";"1005,5";"2,2";"217,0";"9,6";"2,00";"0,0"
"04/01/2023";"0800";"21,6";"22,0";"21,6";"90,0";"91,0";"90,0";"20,0";"20,4";"20,0";"1007,1";"1007,1";"1006,1";"3,1";"236,0";"8,0";"0,70";"0,0"
"04/01/2023";"0900";"21,4";"21,7";"21,4";"90,0";"91,0";"90,0";"19,8";"20,0";"19,7";"1008,1";"1008,1";"1007,1";"2,2";"242,0";"8,9";"5,90";"0,0"
