"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2024";"0000";"11,9";"12,6";"11,8";"95,0";"95,0";"94,0";"11,2";"11,7";"11,0";"1021,6";"1021,7";"1021,3";"";"";"";"";"0,0"
"01/07/2024";"0100";"11,1";"11,9";"11,0";"96,0";"96,0";"95,0";"10,4";"11,2";"10,3";"1021,9";"1021,9";"1021,6";"";"";"";"";"0,0"
"01/07/2024";"0200";"11,0";"11,1";"10,5";"96,0";"96,0";"96,0";"10,4";"10,4";"9,8";"1022,0";"1022,2";"1021,9";"";"";"";"";"0,0"
"01/07/2024";"0300";"12,1";"12,2";"11,0";"96,0";"97,0";"96,0";"11,5";"11,7";"10,4";"1022,1";"1022,2";"1022,0";"";"";"";"";"0,0"
"01/07/2024";"0400";"11,8";"12,2";"11,8";"96,0";"97,0";"96,0";"11,3";"11,7";"11,3";"1022,0";"1022,1";"1021,9";"";"";"";"";"0,0"
"01/07/2024";"0500";"11,1";"11,8";"11,0";"97,0";"97,0";"96,0";"10,6";"11,2";"10,4";"1021,5";"1022,0";"1021,5";"";"";"";"";"0,0"
"01/07/2024";"0600";"11,1";"11,2";"10,8";"97,0";"97,0";"96,0";"10,6";"10,7";"10,3";"1020,8";"1021,5";"1020,8";"";"";"";"";"0,0"
"01/07/2024";"0700";"11,7";"11,8";"11,1";"97,0";"97,0";"97,0";"11,1";"11,3";"10,6";"1020,7";"1020,9";"1020,7";"";"";"";"";"0,0"
"01/07/2024";"0800";"11,8";"11,9";"11,5";"97,0";"97,0";"97,0";"11,3";"11,4";"11,0";"1020,4";"1020,7";"1020,3";"";"";"";"";"0,0"
"01/07/2024";"0900";"12,1";"12,2";"11,8";"97,0";"97,0";"97,0";"11,6";"11,7";"11,3";"1021,2";"1021,2";"1020,3";"";"";"";"";"0,0"
"01/07/2024";"1000";"12,0";"12,1";"11,7";"97,0";"97,0";"97,0";"11,5";"11,7";"11,2";"1021,8";"1022,0";"1021,2";"";"";"";"";"0,0"
"01/07/2024";"1100";"13,0";"13,0";"11,9";"97,0";"97,0";"97,0";"12,5";"12,5";"11,5";"1022,5";"1022,6";"1021,7";"";"";"";"137,70";"0,0"
"01/07/2024";"1200";"13,9";"14,0";"13,0";"97,0";"97,0";"97,0";"13,4";"13,5";"12,5";"1023,1";"1023,1";"1022,5";"";"";"";"352,70";"0,0"
