Year,Month,Day,Hour[1-24],Minute,Source flags,Dry Bulb Temperature,Dew_Point Temperature,Relative Humidity,Atmospheric Station Pressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity,Global Horizontal Radiation,Direct Normal Radiation,Diffuse Horizontal Radiation,Global Horizontal Illuminance,Direct Normal Illuminance,Diffuse Horizontal Illuminance,Zenith Luminance,Wind Direction,Wind Speed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Days Since Last Snowfall,Albedo,Liquid Precipitation Depth,Liquid Precipitation Quantity,Hour,Datetime
2022,1,1,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,22.4,21.2,93,101271,0,0,392,0,0,0,0,0,0,0,272,2.8,10,10,777.7,194,9,999999999,80,0.164,0,88,0.1,0.0,0.0,0,2022-01-01 00:00:00
2022,1,1,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,22.5,21.3,93,101271,0,0,406,0,0,0,0,0,0,0,276,2.6,10,10,777.7,185,9,999999999,81,0.164,0,88,0.1,0.0,0.0,1,2022-01-01 01:00:00
2022,1,1,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,21.9,20.7,93,101271,0,0,392,0,0,0,0,0,0,0,290,2.4,10,10,777.7,153,9,999999999,76,0.164,0,88,0.1,0.0,0.0,2,2022-01-01 02:00:00
2022,1,1,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,21.9,20.9,94,101271,0,0,395,0,0,0,0,0,0,0,290,2.2,10,10,777.7,168,9,999999999,78,0.164,0,88,0.1,0.0,0.0,3,2022-01-01 03:00:00
2022,1,1,5,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,21.7,20.6,94,101271,0,0,394,0,0,0,0,0,0,0,276,2.1,10,10,777.7,182,9,999999999,76,0.164,0,88,0.1,0.0,0.0,4,2022-01-01 04:00:00
2022,1,1,6,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,21.5,20.7,95,101271,162,755,393,81,187,37,19386,32340,9139,5485,270,1.9,10,10,777.7,125,9,999999999,76,0.164,0,88,0.1,0.0,0.0,5,2022-01-01 05:00:00
2022,1,1,7,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,21.6,20.8,95,101271,469,1415,389,234,415,93,40375,53393,15387,5801,280,1.5,10,10,777.7,31,9,999999999,77,0.164,0,88,0.1,0.0,0.0,6,2022-01-01 06:00:00
2022,1,1,8,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,23.2,21.8,92,101271,760,1415,394,458,589,131,64468,65678,20707,4724,302,1.1,9,9,777.7,32,9,999999999,85,0.164,0,88,0.1,0.0,0.0,7,2022-01-01 07:00:00
2022,1,1,9,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,23.9,21.8,88,101271,1016,1415,396,669,726,151,83453,69066,23883,3749,296,1.0,9,9,777.7,2215,9,999999999,85,0.164,0,88,0.1,0.0,0.0,8,2022-01-01 08:00:00
2022,1,1,10,0,?9?9?9?9E0?9?9?9*9*9?9?9?9*9?9?9*9?9*9*9?9*9,24.9,21.4,81,101271,1217,1415,388,824,769,164,92159,60230,24601,3360,282,1.1,8,8,777.7,2457,9,999999999,81,0.164,0,88,0.1,0.0,0.0,9,2022-01-01 09:00:00
